stem	best_diff	size	best_flags	was
0801a4fc	2	166/166	-mgrouped-dma-store,-fthumb-group-value2-in-place	9
0808fecc	2	48/48	BASE	2
0801faa8	3	160/160	BASE	3
08022768	3	180/180	BASE	3
08090824	3	104/104	-mgrouped-dma-store,-fthumb-group-control-last	9
08098b10	3	248/248	BASE	3
080b5d3c	4	214/214	BASE	4
080c0130	5	84/84	-fno-schedule-insns2,-mgrouped-dma-store	28
080c1fa8	5	84/84	BASE	5
080f0614	6	100/100	BASE	6
08021be0	7	84/84	-fno-schedule-insns2,-mgrouped-dma-store	20
08011a84	8	92/92	-fno-schedule-insns2,-mgrouped-dma-store	44
08011fd8	9	96/96	-mthumb-load-latency-one	10
080ae99c	9	84/84	-fno-cse-two-insn-immediate,-fsched-store-first	10
0801965c	10	104/104	BASE	10
08077394	10	68/68	-fno-regmove,-fno-schedule-insns2	11
080a8578	10	140/140	BASE	10
08004760	11	60/60	-fthumb-group-control-last	15
0808b868	11	128/128	BASE	11
0809ba90	11	164/164	-mgrouped-dma-store,-fthumb-group-control-last	73
080a6a98	11	204/204	-fthumb-low-constant-before-high-move	12
0800c004	12	194/194	-mgrouped-dma-store,-fthumb-group-value2-in-place	96
080ae9f0	12	92/92	-fno-cse-two-insn-immediate,-fsched-store-first	13
080f9afc	12	24/20	BASE	12
080fa1ac	12	28/26	-fno-regmove	13
080fa264	12	32/28	-mthumb-early-literal-pool	15
0801c188	13	148/148	BASE	13
0809a7f4	13	156/156	BASE	13
080f4028	13	140/140	-fno-sched-depend-count	14
080052f4	15	76/76	-fno-sched-depend-count,-mgrouped-dma-store	37
080054e4	15	80/80	-fno-sched-depend-count,-mgrouped-dma-store	37
08005534	15	80/80	-fno-sched-depend-count,-mgrouped-dma-store	37
0800562c	15	80/80	-fno-sched-depend-count,-mgrouped-dma-store	37
0800567c	15	80/80	-fno-sched-depend-count,-mgrouped-dma-store	37
08019d2c	15	124/124	-fno-cse-follow-jumps	35
0809397c	15	152/152	BASE	15
080a40ac	15	100/100	BASE	15
080f0254	15	92/92	-fno-cse-pool-immediate,-mgrouped-dma-store	41
080fa280	15	36/32	-mthumb-early-literal-pool	17
080fb410	15	30/30	BASE	15
080b7548	16	148/148	-fno-cse-two-insn-immediate,-fsched-store-first	17
080f9a18	16	32/22	BASE	16
08002dd8	17	40/40	-fno-regmove,-fno-schedule-insns2	18
08004278	17	80/80	-fno-cse-two-insn-immediate,-fno-sched-depend-count	23
080c0eb8	17	36/36	-fsched-store-first	18
080f9a30	17	36/32	BASE	17
08098848	18	268/268	-fsched-high-dest-first	19
080f9ef8	18	68/68	-mthumb-and-sets-cc	29
08021950	19	120/120	-mentry-low-register-order	21
0808fe38	19	126/120	-mgrouped-dma-store	50
080fb2a4	19	36/40	-mentry-low-register-order	20
08015f30	22	136/136	-mgrouped-dma-store,-fthumb-split-group-base	59
080175c0	22	88/96	-mthumb-early-literal-pool	25
0801ea3c	22	160/160	-fno-cse-two-insn-immediate,-fsched-low-dest-first	23
08020198	22	168/172	BASE	22
080a22f4	22	52/48	BASE	22
080a2324	22	156/156	-fno-cse-two-insn-immediate,-fno-sched-depend-count	23
080170c4	23	48/52	-fno-cse-two-insn-immediate,-fno-sched-depend-count	24
0801fd34	23	84/80	-fno-cse-two-insn-immediate,-fsched-store-first	24
080788c4	23	132/132	BASE	23
08003fa4	24	152/152	-fsched-low-dest-first	25
080049ac	24	64/60	-fno-regmove,-fno-schedule-insns2	28
080a3354	24	126/128	BASE	24
080a3ddc	24	78/76	BASE	24
080bd7a4	24	36/56	-mgrouped-dma-store	27
080165d8	25	150/150	-fno-gcse	33
080949a8	25	288/288	-mgrouped-dma-store	60
080a7380	25	192/192	BASE	25
080b0840	25	88/84	-mentry-low-register-order	29
080c00d8	25	88/88	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-low-dest-first	35
080cd358	25	192/192	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	79
080a1f74	26	96/96	BASE	26
080907b0	27	116/116	BASE	27
080936a0	27	112/112	-fno-sched-depend-count,-mthumb-immediate-latency	30
