commit,first_parent_position,author_time,committer_time,full_c_bytes,executable_bytes,remaining_bytes,percent,main_full_c_bytes,overlay_full_c_bytes,canonical_prefix,derivation_status,correction
9f30ecbc49c8f6fe06abdb3639577d15ceceddc4,1,2026-07-16T14:49:11+01:00,2026-07-16T14:49:11+01:00,0,1347264,1347264,0,0,0,☀️ 0% –,measured,
9937e78b9a02e52d505f84724a5f02d355f24f36,2,2026-07-16T14:49:11+01:00,2026-07-16T14:49:11+01:00,0,1347264,1347264,0,0,0,☀️ 0% –,measured,
d6c8880815082fd742d312601392751d4002863f,3,2026-07-16T14:49:28+01:00,2026-07-16T14:49:28+01:00,70,1347264,1347194,0.01,70,0,☀️ 0% –,measured,
cedfe40ca5e30ef5505163af6a61ed3a6ce66783,4,2026-07-16T14:49:28+01:00,2026-07-16T14:49:28+01:00,150,1347264,1347114,0.01,150,0,☀️ 0% –,measured,
1fb33229805070630b3d15b6eb26dddd026acbbe,5,2026-07-16T14:49:28+01:00,2026-07-16T14:49:28+01:00,358,1347264,1346906,0.03,358,0,☀️ 0% –,measured,
651990531c52ea2c45b0f952d0aee586a176f070,6,2026-07-16T14:57:09+01:00,2026-07-16T14:57:09+01:00,1072,1347264,1346192,0.08,1072,0,☀️ 0% –,measured,
88079e1f542919b23f928a58ad81ba95472c8789,7,2026-07-16T15:02:41+01:00,2026-07-16T15:02:41+01:00,1486,1347264,1345778,0.11,1486,0,☀️ 0% –,measured,
48f97f588cc45ea7317f329341ae575e18283a0f,8,2026-07-16T15:05:45+01:00,2026-07-16T15:05:45+01:00,5208,1347264,1342056,0.39,5208,0,☀️ 0% –,measured,
94e4044acf0e22a377e9a93ff65c7fff3048b8c1,9,2026-07-16T15:07:51+01:00,2026-07-16T15:07:51+01:00,6936,1347264,1340328,0.51,6936,0,☀️ 1% –,measured,
d9527de1924d6e2250e9f715b4061b52370821de,10,2026-07-16T16:40:32+01:00,2026-07-16T16:40:32+01:00,10918,1347264,1336346,0.81,10918,0,☀️ 1% –,measured,
7b69089212ded89469427fe560170db1bfb803c3,11,2026-07-16T16:48:37+01:00,2026-07-16T16:48:37+01:00,11254,1347264,1336010,0.84,11254,0,☀️ 1% –,measured,
56c9f93010cacf32b52ea1c13e9bacf6d2ffbe57,12,2026-07-16T16:51:49+01:00,2026-07-16T16:51:49+01:00,11640,1347264,1335624,0.86,11640,0,☀️ 1% –,measured,
9e133a0251b1d24a802de5c6ce427f3d85b5c945,13,2026-07-16T16:57:42+01:00,2026-07-16T16:57:42+01:00,11640,1347264,1335624,0.86,11640,0,☀️ 1% –,measured,
6e1fa823f451b504494cd42cf2159dfd76a6292e,14,2026-07-16T17:01:16+01:00,2026-07-16T17:01:16+01:00,11640,1347264,1335624,0.86,11640,0,☀️ 1% –,measured,
bb39b1fb8c23b21800b12cd4b0648286aa15b6db,15,2026-07-16T17:03:35+01:00,2026-07-16T17:03:35+01:00,11640,1347264,1335624,0.86,11640,0,☀️ 1% –,measured,
