stem	best_diff	size	best_flags	was
0807a550	0	94/94	-fno-gcse-insert-load	20
0808fecc	2	48/48	BASE	2
0801faa8	3	160/160	BASE	3
08022768	3	180/180	BASE	3
08098b10	3	248/248	BASE	3
080b5d3c	4	214/214	BASE	4
080c1fa8	5	84/84	-fno-cse-two-insn-immediate,-fno-sched-depend-count	15
08090824	6	104/104	-mgrouped-dma-store	9
080f0614	6	100/100	BASE	6
08011fd8	9	96/96	-mthumb-load-latency-one	10
0801a4fc	9	166/166	BASE	9
080ae99c	9	84/84	-fno-cse-two-insn-immediate,-fsched-store-first	10
0801965c	10	104/104	BASE	10
08077394	10	68/68	-fno-regmove,-fno-schedule-insns2	11
080a8578	10	140/140	BASE	12
08004760	11	60/60	-fthumb-group-control-last	15
0808b868	11	128/128	BASE	11
080a6a98	11	204/204	-fthumb-low-constant-before-high-move	12
080c0130	11	84/84	-mgrouped-dma-store	28
08021be0	12	84/84	-fno-regmove,-fno-schedule-insns2	20
080ae9f0	12	92/92	-fno-cse-two-insn-immediate,-fsched-store-first	13
080f9afc	12	24/20	BASE	12
080fa1ac	12	28/26	-fno-regmove	13
080fa264	12	32/28	-mthumb-early-literal-pool	15
0801c188	13	148/148	BASE	13
0809a7f4	13	156/156	BASE	13
0809ba90	13	164/164	-mgrouped-dma-store	73
080f4028	13	140/140	-fno-sched-depend-count	14
08011a84	15	92/92	-mgrouped-dma-store	44
08019d2c	15	124/124	-fno-cse-two-insn-immediate	35
0809397c	15	152/152	BASE	15
080a40ac	15	100/100	BASE	15
080fa280	15	36/32	-mthumb-early-literal-pool	17
080fb410	15	30/30	BASE	15
080052f4	16	76/76	-mgrouped-dma-store	37
080b7548	16	148/148	-fno-cse-two-insn-immediate,-fsched-store-first	19
080f9a18	16	32/22	BASE	22
08002dd8	17	40/40	-fno-regmove,-fno-schedule-insns2	18
080c0eb8	17	36/36	-fsched-store-first	18
080f9a30	17	36/32	BASE	17
08004278	18	80/80	-fno-regmove,-fno-schedule-insns2	25
080054e4	18	80/80	-mgrouped-dma-store	37
08005534	18	80/80	-mgrouped-dma-store	37
0800562c	18	80/80	-mgrouped-dma-store	37
0800567c	18	80/80	-mgrouped-dma-store	37
08098848	18	268/268	-fsched-high-dest-first	22
080f9ef8	18	68/68	-mthumb-and-sets-cc	29
08021950	19	120/120	-mentry-low-register-order	21
