stem	best_diff	size	best_mode	draft
08078144	0	228/228	-fno-sched-alias	work/candidates/08078144.c
080044d0	1	212/212	-fsched-low-dest-first	work/hand/080044d0/080044d0.c
0808fecc	2	48/48	BASE	work/candidates/0808fecc.c
080942e0	2	116/116	BASE	work/hand/080942e0/080942e0.c
0801faa8	3	160/160	BASE	work/agents/codex_0801faa8/search-results/000/0801faa8.c
08022768	3	180/180	BASE	work/hand/08022768/08022768.c
080286a0	3	188/188	BASE	work/agents/080286a0-next/080286a0.c
08098b10	3	248/248	-fno-cse-pool-immediate	work/candidates/08098b10.c
080a1870	4	236/236	BASE	work/hand/080a1870/best/080a1870.c
080b5d3c	4	214/214	-fno-cse-two-insn-immediate	work/agents/080b5d3c/080b5d3c.c
080f7f30	5	72/72	-fno-cse-pool-immediate	work/hand/080f7f30/080f7f30.c
08090824	6	104/104	-mgrouped-dma-store	work/hand/08090824.c
080f0614	6	100/100	BASE	work/agents/solve_08019944/080f0614.c
0801965c	7	104/104	-fno-cse-two-insn-immediate	work/hand/0801965c/explicit-loop-limit/0801965c.c
080a8578	7	140/140	-fno-rerun-cse-after-loop	work/agents/codex_080a8578/080a8578.c
08077394	8	68/68	-fno-cse-two-insn-immediate	work/agents/codex_08077394/variants/extern_result/08077394.c
0801a4fc	9	166/166	BASE	work/agents/0801a4fc/0801a4fc.c
08096810	9	336/336	-fsched-low-dest-first	work/agents/08096810/08096810.c
080ae99c	9	84/84	-mthumb-immediate-latency	work/agents/codex_080ae9f0/080ae99c.c
08011fd8	10	96/96	BASE	work/hand/08011fd8/08011fd8.c
0808b868	11	128/128	BASE	work/hand/0808b868.c
080c0130	11	84/84	-mgrouped-dma-store	work/hand/080c0130/080c0130.c
08021be0	12	84/84	-fno-schedule-insns2	work/hand/08021be0/08021be0.c
080a6a98	12	204/204	-fno-cse-two-insn-immediate	work/candidates/080a6a98.c
080ae9f0	12	92/92	-fsched-store-first	work/hand/080ae9f0/080ae9f0.c
080f9afc	12	24/20	-fsched-high-dest-first	work/manual/080f9afc.c
080fa1ac	12	28/26	-fno-regmove	work/matches/m2c/080fa1ac.c
0801c188	13	148/148	-fno-cse-two-insn-immediate	work/agents/0801c188/0801c188.c
0809a7f4	13	156/156	BASE	work/hand/0809a7f4/0809a7f4.c
0809ba90	13	164/164	-mgrouped-dma-store	work/agents/0809ba90/0809ba90.c
080f4028	13	140/140	-fno-sched-depend-count	work/hand/080f4028/080f4028.c
080fa264	13	28/28	-fno-expensive-optimizations	work/manual/080fa264.c
08004760	14	60/60	-fno-cse-pool-immediate	work/hand/08004x-small/04760_grouped_locals/08004760.c
080c1fa8	14	84/84	-fno-sched-depend-count	work/hand/080c1fa8/080c1fa8.c
080fb410	14	28/30	-fno-sched-alias	work/agents/codex_080fb410/reassign/080fb410.c
08011a84	15	92/92	-mgrouped-dma-store	work/hand/08011a84/08011a84.c
08019d2c	15	124/124	-fno-cse-two-insn-immediate	work/agents/solve_08019944/08019d2c.c
0809397c	15	152/152	BASE	work/hand/0809397c/0809397c.c
080a40ac	15	100/100	BASE	work/agents/codex_080a40ac/080a40ac.c
080052f4	16	76/76	-mgrouped-dma-store	work/hand/080052f4/080052f4.c
080fa280	16	36/32	-fno-schedule-insns2	work/manual/080fa280.c
08002dd8	17	40/40	-fno-regmove,-fno-schedule-insns2	work/matches/m2c/08002dd8.c
0801ea3c	17	164/160	-fno-regmove,-fno-expensive-optimizations	work/hand/0801ea3c.c
0807a550	17	92/94	-fno-gcse-insert-load	work/hand/0807a550/0807a550.c
080c0eb8	17	36/36	-fsched-store-first	work/agents/080c0eb8/080c0eb8.c
080f9a30	17	36/32	-fno-cse-pool-immediate	work/manual/080f9a30.c
080054e4	18	80/80	-mgrouped-dma-store	work/candidates/080054e4.c
08005534	18	80/80	-mgrouped-dma-store	work/candidates/08005534.c
0800562c	18	80/80	-mgrouped-dma-store	work/candidates/0800562c.c
0800567c	18	80/80	-mgrouped-dma-store	work/candidates/0800567c.c
080b7548	18	148/148	-fsched-store-first	work/agents/080b7548/080b7548.c
08004278	19	80/80	-fno-regmove,-fno-schedule-insns2	work/agents/solve_08004278/08004278.c
080fb2a4	20	32/40	BASE	work/hand/080fb2a4.c
0800543c	21	84/84	-mgrouped-dma-store	work/hand/0800543c/0800543c.c
08021950	21	120/120	-fno-cse-pool-immediate	work/candidates/08021950.c
08098848	21	268/268	-fsched-high-dest-first	work/matches/m2c/08098848.c
08020198	22	168/172	BASE	work/agents/08020198/08020198.c
080a22f4	22	48/48	-fno-cse-pool-immediate	work/manual/a22/080a22f4.c
080a2324	22	156/156	-fno-sched-depend-count	work/hand/080a2324.c
080f9a18	22	44/22	BASE	work/matches/m2c/080f9a18.c
08016178	23	184/184	-fno-gcse	work/candidates/08016178.c
080170c4	23	48/52	-fno-sched-depend-count	work/manual/080170c4.c
0801fd34	23	84/80	-fsched-store-first	work/matches/m2c/0801fd34.c
080788c4	23	132/132	BASE	work/hand/080788c4/080788c4.c
08003fa4	24	152/152	-fsched-low-dest-first	work/hand/08003fa4/08003fa4.c
080049ac	24	64/60	-fno-schedule-insns2	work/candidates/080049ac.c
080a3354	24	126/128	BASE	work/candidates/080a3354.c
