# Eighteen packed 4-bit CGB waveforms used by TBS.
wave	address	source
0	0x080fc504	WAVE_00.PCM4
1	0x080fc514	WAVE_01.PCM4
2	0x080fc524	WAVE_02.PCM4
3	0x080fc534	WAVE_03.PCM4
4	0x080fc544	WAVE_04.PCM4
5	0x080fc554	WAVE_05.PCM4
6	0x080fc564	WAVE_06.PCM4
7	0x080fc574	WAVE_07.PCM4
8	0x080fc584	WAVE_08.PCM4
9	0x080fc594	WAVE_09.PCM4
10	0x080fc5a4	WAVE_10.PCM4
11	0x080fc5b4	WAVE_11.PCM4
12	0x080fc5c4	WAVE_12.PCM4
13	0x080fc5d4	WAVE_13.PCM4
14	0x080fc5e4	WAVE_14.PCM4
15	0x080fc5f4	WAVE_15.PCM4
16	0x080fc604	WAVE_16.PCM4
17	0x080fc614	WAVE_17.PCM4
