# Byte-exact TBS SMSH sequence sources, identified by ROM sound IDs.
sound_id	class	address	size	source
0	music	0x0815fb78	0x0000095c	BGM_000.MID
1	music	0x081604d4	0x00000aec	BGM_001.MID
2	music	0x08160fc0	0x000005bc	BGM_002.MID
3	music	0x0816157c	0x0000074c	BGM_003.MID
4	music	0x08161cc8	0x000003a4	BGM_004.MID
5	music	0x0816206c	0x000008d4	BGM_005.MID
6	music	0x08162940	0x000009e4	BGM_006.MID
7	music	0x08163324	0x00000a54	BGM_007.MID
8	music	0x08163d78	0x00000668	BGM_008.MID
9	music	0x081643e0	0x0000081c	BGM_009.MID
10	music	0x08164bfc	0x000006dc	BGM_010.MID
20	music	0x081652e0	0x00000a98	BGM_020.MID
21	music	0x08165d78	0x0000073c	BGM_021.MID
22	music	0x081664b4	0x000012e8	BGM_022.MID
23	music	0x0816779c	0x00000f10	BGM_023.MID
24	music	0x081686ac	0x000012dc	BGM_024.MID
25	music	0x08169988	0x00000c98	BGM_025.MID
26	music	0x0816a620	0x000006dc	BGM_026.MID
27	music	0x0816acfc	0x00000e9c	BGM_027.MID
28	music	0x0816bb98	0x00000c14	BGM_028.MID
29	music	0x0816c7ac	0x0000131c	BGM_029.MID
30	music	0x0816dac8	0x000005f0	BGM_030.MID
40	music	0x0816e0b8	0x00000a9c	BGM_040.MID
41	music	0x0816eb54	0x00000ac8	BGM_041.MID
42	music	0x0816f61c	0x00000c0c	BGM_042.MID
43	music	0x08170228	0x00000dbc	BGM_043.MID
50	music	0x08170fe4	0x00000b34	BGM_050.MID
51	music	0x08171b18	0x00001f24	BGM_051.MID
52	music	0x08173a3c	0x00001964	BGM_052.MID
53	music	0x081753a0	0x00001c0c	BGM_053.MID
54	music	0x08176fac	0x00001f1c	BGM_054.MID
55	music	0x08178ec8	0x00000b18	BGM_055.MID
58	music	0x081799e0	0x0000039c	BGM_058.MID
59	music	0x08179d7c	0x000001d0	BGM_059.MID
60	music	0x08179f4c	0x00000644	BGM_060.MID
61	music	0x0817a590	0x00000798	BGM_061.MID
62	music	0x0817ad28	0x0000035c	BGM_062.MID
63	music	0x0817b084	0x00000dd0	BGM_063.MID
64	music	0x0817be54	0x00000298	BGM_064.MID
67	music	0x0817c0ec	0x00001d68	BGM_067.MID
70	music	0x0817de54	0x00000ab8	BGM_070.MID
72	music	0x0817e90c	0x000007e0	BGM_072.MID
74	music	0x0817f0ec	0x00000b1c	BGM_074.MID
75	music	0x0817fc08	0x00000264	BGM_075.MID
76	music	0x0817fe6c	0x00000774	BGM_076.MID
80	music	0x081805e0	0x000000c0	BGM_080.MID
81	music	0x081806a0	0x000000f8	BGM_081.MID
82	music	0x08180798	0x000000bc	BGM_082.MID
83	music	0x08180854	0x000000f8	BGM_083.MID
84	music	0x0818094c	0x000000c8	BGM_084.MID
85	music	0x08180a14	0x00000060	BGM_085.MID
86	music	0x08180a74	0x00000184	BGM_086.MID
87	music	0x08180bf8	0x00000090	BGM_087.MID
88	music	0x08180c88	0x000000c4	BGM_088.MID
89	music	0x08180d4c	0x000000dc	BGM_089.MID
91	music	0x08180e28	0x00000064	BGM_091.MID
92	music	0x08180e8c	0x000000bc	BGM_092.MID
93	music	0x08180f48	0x00000170	BGM_093.MID
100	sfx	0x081810c0	0x0000002c	SE_100.MID
101	sfx	0x081810ec	0x00000038	SE_SHOP_PURCHASE.MID
102	sfx	0x08181124	0x0000003c	SE_102.MID
103	sfx	0x08181160	0x00000050	SE_103.MID
104	sfx	0x081811b0	0x00000048	SE_104.MID
105	sfx	0x081811f8	0x00000068	SE_105.MID
106	sfx	0x08181260	0x0000001c	SE_106.MID
107	sfx	0x0818127c	0x00000074	SE_107.MID
