# TBS English overlay identities derived from the ROM location-name resolver, not source filenames.
# Scene indices 0..200: 08029094 bounds the selector; 0808ab48 loads record[scene].resource_id from 0809f1a8.
# Name rules: 0808a5d0 -> 0808b158 scans 0809ddd8 in order. Bit 15 selects scene instead of group; low 15 bits select entry or 0x7fff wildcard.
# Menu_DrawSelectionRow adds 0x99b to the matched result. Message IDs refer to assets/text/message_archive.json.
# All matching entry-specific titles are included; reachability of every entry was not tested in an emulator. No-match title-screen fallback is excluded.
# English display names are identification evidence, not proposed Japanese source filenames. Scene indices are not graphics-map indices.
# Existing source names are not evidence: resource_39d is Mercury Lighthouse, 3b2 Crossbone Isle, and 3bf Lunpa Fortress; 39e is shared Fuchin/Xian/Lama interior code.
resource_id	locations	role	scene_ids	name_message_ids	evidence	atlas_destination
resource_36f	Title screen	title	0	0x99b	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/MENU/TITLE
resource_370	(Clear data)	save_menu	1	0x99c	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/MENU/CLEAR
resource_371	World Map	world_map	2	0x99d	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/WORLD_MAP
resource_372	Vale	area	3	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HAIDIA_ARASHI
resource_373	Vale	area	4	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HAIDIA_MURA
resource_374	Vale	area	5	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HAIDIA_IE
resource_375	Vale	area	6	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HAIDIA_SUKURETA
resource_376	Vale	area	7	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HAIDIA_HEYA
resource_377	Babi's Palace; Vale	area	8	0x9a4,0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/HAIDIA_BABI
resource_378	Vale Sanctum; Vault Sanctum; Bilibin Sanctum; Xian Sanctum; Altin Sanctum; Sanctum	area	9	0x99e,0x99f,0x9a0,0x9a1,0x9a2,0x9a3	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/SHINDEN_HEYA
resource_379	Vale	area	10	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HAIDIA_FUNKA
resource_37a	Sol Sanctum	area	11	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_NICHIGETSU
resource_37b	Sol Sanctum	area	12	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_SEKIZO
resource_37c	Sol Sanctum	area	13	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_DOU
resource_37d	Sol Sanctum	area	14	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_MEIRO
resource_37e	Sol Sanctum	area	15	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_ROKA
resource_37f	Sol Entrance; Sol Sanctum	area	16,19	0x9a6,0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_IRIGUCHI
resource_380	Elemental Star Room	area	17	0x9a7	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_STAR
resource_381	Elemental Star Room	area	18	0x9a7	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SORU_FUNKA
resource_382	Vault	area	20	0x9ab	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KUUPUAPPU_MURA
resource_383	Vault	area	21	0x9ab	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KUUPUAPPU_HEYA
resource_384	Lunpa; Vault	area	22	0x9aa,0x9ab	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/KUUPUAPPU_RUNPA
resource_385	Vault	area	23	0x9ab	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KUUPUAPPU_MURA_SAI
resource_386	Vault	area	24	0x9ab	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KUUPUAPPU_HEYA_SAI
resource_387	Goma Cave Entrance	area	25	0x9ac	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/GOMA_IRIGUCHI
resource_388	Goma Cave	area	26	0x9ad	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/GOMA_IKE
resource_389	Goma Cave	area	27	0x9ad	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/GOMA_HASHIRA
resource_38a	Goma Cave	area	28,29	0x9ad	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/GOMA_SUIRO
resource_38b	Bilibin Treasury; Bilibin; Bilibin Barricade	area	30,32,35	0x9ae,0x9af,0x9b1	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BIRIBINO_MURA
resource_38c	Bilibin	area	31	0x9af	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BIRIBINO_HEYA
resource_38d	McCoy's Palace	area	33	0x9b0	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BIRIBINO_KYUDEN
resource_38e	McCoy's Palace	area	34	0x9b0	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BIRIBINO_NIWA
resource_38f	Kolima Tunnel; Kolima; Kolima Bridge	area	36,38,39	0x9b2,0x9b3,0x9b4	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORIMA_MURA
resource_390	Kolima	area	37	0x9b3	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORIMA_HEYA
resource_391	Kolima Forest	area	40	0x9b5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORIMA_HASHI
resource_392	Kolima Forest	area	41	0x9b5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORIMA_HIROBA
resource_393	Kolima Forest	area	42	0x9b5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORIMA_KAWA
resource_394	Kolima Forest	area	43	0x9b5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORIMA_MAGARI
resource_395	Kolima Forest	area	44	0x9b5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KORIMA_KI
resource_396	Tret Tree	area	45	0x9b6	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TORETO_HEYA
resource_397	Tret Tree	area	46	0x9b6	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/TORETO_EDA
resource_398	Bilibin Cave Entrance; Bilibin Cave	area	47,48,49	0x9b7,0x9b8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/BIRIBINO_DOU
resource_399	Imil Sanctum; Imil	area	50,51	0x9b9,0x9ba	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/IMIRU_MURA
resource_39a	Imil Falls Cave; Fuchin Falls Cave	area	52,62,63,64,65,66,67	0x9bb,0x9c1	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/IMIRU_FUCHIN
resource_39b	Mercury Lighthouse	area	53	0x9bd	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/MAKYURI_IRIGUCHI
resource_39c	Mercury Lighthouse	area	54,55,56,57	0x9bd	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/MAKYURI_HEYA
resource_39d	Lighthouse Aerie; Mercury Lighthouse	area	58,59	0x9bc,0x9bd	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/MAKYURI_CHOJO
resource_39e	Xian; Lama Temple; Fuchin Temple	area	60,61	0x9be,0x9bf,0x9c0	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/SHIAN_JIIN
resource_39f	Mogall Forest	area	68,69,70,71	0x9c2	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/MOGORU_MORI
resource_3a0	Xian	area	72	0x9c3	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SHIAN_MURA
resource_3a1	Xian	area	73	0x9c3	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SHIAN_HEYA
resource_3a2	Alpine Crossing; Lama Temple	area	74,88	0x9c4,0x9c7	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/YAMA_RAMA
resource_3a3	Altin	area	75,76	0x9c5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/ARUTIN_MURA
resource_3a4	Alpine Crossing; Altin Peak	area	77,78,79,80,81,82,83,84,85,86,87	0x9c4,0x9c6	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/ARUTIN_YAMA
resource_3a5	Lamakan Desert	area	89,90,91,92	0x9c8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/RAMAKAN_SABAKU
resource_3a6	Vale; Vale Cave	area	93,94,95	0x9c9,0x9ca	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HAIDIA_DOU
resource_3a7	Vault Cave	area	96,97,98	0x9cb	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/VAULT_CAVE
resource_3a8	Kalay; Hammet Palace; Kalay Tunnel Entrance; Kalay Tunnel	area	99,102,153,154,155,156	0x9cd,0x9ce,0x9e5,0x9e6	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KAREI_MACHI
resource_3a9	Kalay Sanctum; Kalay	area	100,101	0x9cc,0x9cd	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KAREI_HEYA
resource_3aa	Hammet Palace	area	103	0x9ce	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/KAREI_KYUDEN
resource_3ab	Lunpa; Lunpa Fortress Gates	area	104,159	0x9d0,0x9e8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/RUNPA_MURA
resource_3ac	Lunpa Temple; Gate to Suhalla; Lunpa	area	105	0x9a9,0x9cf,0x9d0	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/COMMON/RUNPA_SUHARA
