# ROM-derived TLA direct-sound samples.
sample	address	frequency	loop_start	sample_count	source
0	0x081c5e34	22579200	645	667	WAVE_00.PCM8.WAV
1	0x081c60e0	22579200	12544	13051	WAVE_01.PCM8.WAV
2	0x081c93ec	22579200	9392	11078	WAVE_02.PCM8.WAV
3	0x081cbf44	22579200		7534	WAVE_03.PCM8.WAV
4	0x081cdcc4	22579200	1804	1826	WAVE_04.PCM8.WAV
5	0x081ce3f8	22579200		19527	WAVE_05.PCM8.WAV
6	0x081d3050	16146432	7820	16831	WAVE_06.PCM8.WAV
7	0x081d7220	22579200	5616	16028	WAVE_07.PCM8.WAV
8	0x081db0cc	22579200	2500	2543	WAVE_08.PCM8.WAV
9	0x081dbacc	22579200	7020	13286	WAVE_09.PCM8.WAV
10	0x081deec4	22579200	8037	8080	WAVE_10.PCM8.WAV
11	0x081e0e64	22579200	2010	2053	WAVE_11.PCM8.WAV
12	0x081e167c	22579200	8064	12247	WAVE_12.PCM8.WAV
13	0x081e4664	22579200	3625	8767	WAVE_13.PCM8.WAV
14	0x081e6924	6712836	6826	11358	WAVE_14.PCM8.WAV
15	0x081e9594	6088740	10930	13866	WAVE_15.PCM8.WAV
16	0x081ecbd0	22579200		4524	WAVE_16.PCM8.WAV
17	0x081edd8c	19353600		9098	WAVE_17.PCM8.WAV
18	0x081f0128	13425673	12566	16934	WAVE_18.PCM8.WAV
19	0x081f4360	13425673	6758	13763	WAVE_19.PCM8.WAV
20	0x081f7934	13425673	15090	21591	WAVE_20.PCM8.WAV
21	0x081fcd9c	10240000	0	12485	WAVE_21.PCM8.WAV
22	0x081ffe74	10240000	0	19815	WAVE_22.PCM8.WAV
23	0x08204bec	22579200	6742	10748	WAVE_23.PCM8.WAV
24	0x082075f8	10240000		4519	WAVE_24.PCM8.WAV
25	0x082087b0	10240000		4514	WAVE_25.PCM8.WAV
26	0x08209964	32292864		5638	WAVE_26.PCM8.WAV
27	0x0820af7c	22579200		2659	WAVE_27.PCM8.WAV
28	0x0820b9f0	32292864		11155	WAVE_28.PCM8.WAV
29	0x0820e594	32292864		5972	WAVE_29.PCM8.WAV
30	0x0820fcf8	32292864		12104	WAVE_30.PCM8.WAV
31	0x08212c50	32292864		14761	WAVE_31.PCM8.WAV
32	0x0821660c	32292864		3579	WAVE_32.PCM8.WAV
33	0x08217418	32292864		14977	WAVE_33.PCM8.WAV
34	0x0821aeac	32292864	19733	27688	WAVE_34.PCM8.WAV
35	0x08221ae4	32292864	13980	20947	WAVE_35.PCM8.WAV
36	0x08226cc8	21528576	5306	12407	WAVE_36.PCM8.WAV
37	0x08229d50	21528576	631	25510	WAVE_37.PCM8.WAV
38	0x08230108	21528576		32863	WAVE_38.PCM8.WAV
39	0x08238178	21528576	2446	9830	WAVE_39.PCM8.WAV
40	0x0823a7f0	22542336		21166	WAVE_40.PCM8.WAV
41	0x0823fab0	22542336		33187	WAVE_41.PCM8.WAV
42	0x08247c64	21528576	1	3197	WAVE_42.PCM8.WAV
43	0x082488f4	21528576	0	2181	WAVE_43.PCM8.WAV
44	0x0824918c	21528576		10825	WAVE_44.PCM8.WAV
45	0x0824bbe8	21528576		3987	WAVE_45.PCM8.WAV
46	0x0824cb8c	21528576		2935	WAVE_46.PCM8.WAV
47	0x0824d714	21528576	7860	16399	WAVE_47.PCM8.WAV
48	0x08251734	10764288	500	18363	WAVE_48.PCM8.WAV
49	0x08255f00	22579200		30297	WAVE_49.PCM8.WAV
50	0x0825d56c	22579200	33	2073	WAVE_50.PCM8.WAV
51	0x0825dd98	22579200	57	2456	WAVE_51.PCM8.WAV
52	0x0825e740	22579200	71	1978	WAVE_52.PCM8.WAV
53	0x0825ef0c	22579200	85	3589	WAVE_53.PCM8.WAV
54	0x0825fd24	22579200		2254	WAVE_54.PCM8.WAV
55	0x08260604	22579200		21461	WAVE_55.PCM8.WAV
56	0x082659ec	22579200	309	19441	WAVE_56.PCM8.WAV
57	0x0826a5f0	22579200	258	30153	WAVE_57.PCM8.WAV
58	0x08271bcc	22579200		32966	WAVE_58.PCM8.WAV
59	0x08279ca4	22579200	119	23266	WAVE_59.PCM8.WAV
60	0x0827f798	11289600	154	9720	WAVE_60.PCM8.WAV
61	0x08281da0	22579200		20113	WAVE_61.PCM8.WAV
62	0x08286c44	22579200		14209	WAVE_62.PCM8.WAV
63	0x0828a3d8	22579200	31904	53043	WAVE_63.PCM8.WAV
64	0x0829731c	22579200		39653	WAVE_64.PCM8.WAV
65	0x082a0e14	22579200		41283	WAVE_65.PCM8.WAV
66	0x082aaf68	22579200		16542	WAVE_66.PCM8.WAV
67	0x082af018	22579200		6705	WAVE_67.PCM8.WAV
68	0x082b0a5c	22579200		19556	WAVE_68.PCM8.WAV
69	0x082b56d0	22579200		8791	WAVE_69.PCM8.WAV
70	0x082b7938	22579200		11854	WAVE_70.PCM8.WAV
