# Runtime-captured TLA Battle Mode requester map from a clear-data save.
request	sound_id	header	source	status
0	709	0x082e4a0c	SOUND_709.MID	byte-exact
1	68	0x082d6704	SOUND_068.MID	byte-exact
2	74	0x082d98bc	SOUND_074.MID	byte-exact
3	727	0x082ebcb8	SOUND_727.MID	byte-exact
4	1	0x082bae04	SOUND_001.MID	byte-exact
5	2	0x082bb394	SOUND_002.MID	byte-exact
6	3	0x082bb850	SOUND_003.MID	byte-exact
7	4	0x082bbd20	SOUND_004.MID	byte-exact
8	5	0x082bc108	SOUND_005.MID	byte-exact
9	6	0x082bc5ac	SOUND_006.MID	byte-exact
10	7	0x082bcb68	SOUND_007.MID	byte-exact
11	8	0x082bcdb8	SOUND_008.MID	byte-exact
12	9	0x082bd3d4	SOUND_009.MID	byte-exact
13	10	0x082bda44	SOUND_010.MID	byte-exact
14	11	0x082bdc98	SOUND_011.MID	byte-exact
15	12	0x082be0d8	SOUND_012.MID	byte-exact
16	13	0x082be398	SOUND_013.MID	byte-exact
17	14	0x082be7b4	SOUND_014.MID	byte-exact
18	15	0x082bebb0	SOUND_015.MID	byte-exact
19	16	0x082bef24	SOUND_016.MID	byte-exact
20	17	0x082bf0c8	SOUND_017.MID	byte-exact
21	18	0x082bf1bc	SOUND_018.MID	byte-exact
22	20	0x082bfa34	SOUND_020.MID	byte-exact
23	21	0x082c03f8	SOUND_021.MID	byte-exact
24	22	0x082c09b0	SOUND_022.MID	byte-exact
25	23	0x082c0f84	SOUND_023.MID	byte-exact
26	24	0x082c16e8	SOUND_024.MID	byte-exact
27	25	0x082c1dd0	SOUND_025.MID	byte-exact
28	26	0x082c22a4	SOUND_026.MID	byte-exact
29	27	0x082c2904	SOUND_027.MID	byte-exact
30	28	0x082c3694	SOUND_028.MID	byte-exact
31	29	0x082c4174	SOUND_029.MID	byte-exact
32	30	0x082c495c	SOUND_030.MID	byte-exact
33	31	0x082c4db4	SOUND_031.MID	byte-exact
34	34	0x082c53a4	SOUND_034.MID	byte-exact
35	35	0x082c597c	SOUND_035.MID	byte-exact
36	36	0x082c5e38	SOUND_036.MID	byte-exact
37	37	0x082c60c0	SOUND_037.MID	byte-exact
38	38	0x082c6b54	SOUND_038.MID	byte-exact
39	39	0x082c74a8	SOUND_039.MID	byte-exact
40	40	0x082c80a8	SOUND_040.MID	byte-exact
41	41	0x082c87c4	SOUND_041.MID	byte-exact
42	42	0x082c8efc	SOUND_042.MID	byte-exact
43	43	0x082c9864	SOUND_043.MID	byte-exact
44	44	0x082ca1f0	SOUND_044.MID	byte-exact
45	55	0x082d0298	SOUND_055.MID	byte-exact
46	76	0x082da2a8	SOUND_076.MID	byte-exact
47	49	0x082ca8d4	SOUND_049.MID	byte-exact
48	50	0x082cb414	SOUND_050.MID	byte-exact
49	51	0x082cc064	SOUND_051.MID	byte-exact
50	52	0x082cca08	SOUND_052.MID	byte-exact
51	56	0x082d0b44	SOUND_056.MID	byte-exact
52	57	0x082d12cc	SOUND_057.MID	byte-exact
53	53	0x082cd074	SOUND_053.MID	byte-exact
54	54	0x082cf778	SOUND_054.MID	byte-exact
55	58	0x082d1670	SOUND_058.MID	byte-exact
56	59	0x082d1990	SOUND_059.MID	byte-exact
57	60	0x082d1fd4	SOUND_060.MID	byte-exact
58	61	0x082d2774	SOUND_061.MID	byte-exact
59	62	0x082d2ad4	SOUND_062.MID	byte-exact
60	63	0x082d38ac	SOUND_063.MID	byte-exact
61	64	0x082d3b4c	SOUND_064.MID	byte-exact
62	65	0x082d40cc	SOUND_065.MID	byte-exact
63	70	0x082d71c0	SOUND_070.MID	byte-exact
64	71	0x082d7e00	SOUND_071.MID	byte-exact
65	72	0x082d85e4	SOUND_072.MID	byte-exact
66	73	0x082d8db8	SOUND_073.MID	byte-exact
67	67	0x082d4910	SOUND_067.MID	byte-exact
68	75	0x082d9b30	SOUND_075.MID	byte-exact
69	700	0x082e02a4	SOUND_700.MID	byte-exact
70	701	0x082e0d98	SOUND_701.MID	byte-exact
71	702	0x082e1350	SOUND_702.MID	byte-exact
72	703	0x082e1aa4	SOUND_703.MID	byte-exact
73	704	0x082e1e50	SOUND_704.MID	byte-exact
74	705	0x082e2710	SOUND_705.MID	byte-exact
75	706	0x082e30fc	SOUND_706.MID	byte-exact
76	707	0x082e3b6c	SOUND_707.MID	byte-exact
77	708	0x082e41e4	SOUND_708.MID	byte-exact
78	710	0x082e50f8	SOUND_710.MID	byte-exact
79	720	0x082e5b90	SOUND_720.MID	byte-exact
80	721	0x082e62c8	SOUND_721.MID	byte-exact
81	722	0x082e75a0	SOUND_722.MID	byte-exact
82	723	0x082e87bc	SOUND_723.MID	byte-exact
83	724	0x082e9a98	SOUND_724.MID	byte-exact
84	725	0x082ea730	SOUND_725.MID	byte-exact
85	726	0x082eae10	SOUND_726.MID	byte-exact
86	728	0x082ec8c8	SOUND_728.MID	byte-exact
87	729	0x082edbe8	SOUND_729.MID	byte-exact
88	730	0x082ee1dc	SOUND_730.MID	byte-exact
89	741	0x082eeca0	SOUND_741.MID	byte-exact
90	742	0x082ef8ac	SOUND_742.MID	byte-exact
91	743	0x082f0674	SOUND_743.MID	byte-exact
92	750	0x082f11b8	SOUND_750.MID	byte-exact
93	751	0x082f38d8	SOUND_751.MID	byte-exact
94	752	0x082f525c	SOUND_752.MID	byte-exact
95	753	0x082f6e7c	SOUND_753.MID	byte-exact
96	754	0x082f8da4	SOUND_754.MID	byte-exact
