# Byte-exact TLA SMSH sequence sources, identified by ROM sound IDs.
sound_id	class	address	size	source
1	music	0x082ba7a0	0x0000067c	BGM_001.MID
2	music	0x082bae1c	0x00000594	BGM_002.MID
3	music	0x082bb3b0	0x000004c0	BGM_003.MID
4	music	0x082bb870	0x000004dc	BGM_004.MID
5	music	0x082bbd4c	0x000003d4	BGM_005.MID
6	music	0x082bc120	0x000004a8	BGM_006.MID
7	music	0x082bc5c8	0x000005bc	BGM_007.MID
8	music	0x082bcb84	0x0000024c	BGM_008.MID
9	music	0x082bcdd0	0x00000630	BGM_009.MID
10	music	0x082bd400	0x0000066c	BGM_010.MID
11	music	0x082bda6c	0x0000024c	BGM_011.MID
12	music	0x082bdcb8	0x00000448	BGM_012.MID
13	music	0x082be100	0x000002b8	BGM_013.MID
14	music	0x082be3b8	0x00000420	BGM_014.MID
15	music	0x082be7d8	0x000003f4	BGM_015.MID
16	music	0x082bebcc	0x0000037c	BGM_016.MID
17	music	0x082bef48	0x00000198	BGM_017.MID
18	music	0x082bf0e0	0x000000ec	BGM_018.MID
20	music	0x082bf1cc	0x00000890	BGM_020.MID
21	music	0x082bfa5c	0x000009c4	BGM_021.MID
22	music	0x082c0420	0x000005b4	BGM_022.MID
23	music	0x082c09d4	0x000005d0	BGM_023.MID
24	music	0x082c0fa4	0x0000076c	BGM_024.MID
25	music	0x082c1710	0x000006e4	BGM_025.MID
26	music	0x082c1df4	0x000004d0	BGM_026.MID
27	music	0x082c22c4	0x00000668	BGM_027.MID
28	music	0x082c292c	0x00000d90	BGM_028.MID
29	music	0x082c36bc	0x00000ae0	BGM_029.MID
30	music	0x082c419c	0x000007e4	BGM_030.MID
31	music	0x082c4980	0x00000450	BGM_031.MID
34	music	0x082c4dd0	0x000005f4	BGM_034.MID
35	music	0x082c53c4	0x000005d4	BGM_035.MID
36	music	0x082c5998	0x000004c4	BGM_036.MID
37	music	0x082c5e5c	0x0000027c	BGM_037.MID
38	music	0x082c60d8	0x00000aa4	BGM_038.MID
39	music	0x082c6b7c	0x00000954	BGM_039.MID
40	music	0x082c74d0	0x00000c0c	BGM_040.MID
41	music	0x082c80dc	0x00000708	BGM_041.MID
42	music	0x082c87e4	0x00000740	BGM_042.MID
43	music	0x082c8f24	0x00000968	BGM_043.MID
44	music	0x082c988c	0x00000988	BGM_044.MID
49	music	0x082ca214	0x000006e8	BGM_049.MID
50	music	0x082ca8fc	0x00000b40	BGM_050.MID
51	music	0x082cb43c	0x00000c44	BGM_051.MID
52	music	0x082cc080	0x000009a8	BGM_052.MID
53	music	0x082cca28	0x00000674	BGM_053.MID
54	music	0x082cd09c	0x00002704	BGM_054.MID
55	music	0x082cf7a0	0x00000b18	BGM_055.MID
56	music	0x082d02b8	0x000008b0	BGM_056.MID
57	music	0x082d0b68	0x00000784	BGM_057.MID
58	music	0x082d12ec	0x000003a4	BGM_058.MID
59	music	0x082d1690	0x0000031c	BGM_059.MID
60	music	0x082d19ac	0x00000644	BGM_060.MID
61	music	0x082d1ff0	0x000007a4	BGM_061.MID
62	music	0x082d2794	0x0000035c	BGM_062.MID
63	music	0x082d2af0	0x00000de0	BGM_063.MID
64	music	0x082d38d0	0x00000298	BGM_064.MID
65	music	0x082d3b68	0x00000584	BGM_065.MID
67	music	0x082d40ec	0x00000848	BGM_067.MID
68	music	0x082d4934	0x00001df8	BGM_068.MID
70	music	0x082d672c	0x00000ab8	BGM_070.MID
71	music	0x082d71e4	0x00000c3c	BGM_071.MID
72	music	0x082d7e20	0x000007e0	BGM_072.MID
73	music	0x082d8600	0x000007d4	BGM_073.MID
74	music	0x082d8dd4	0x00000b1c	BGM_074.MID
75	music	0x082d98f0	0x00000264	BGM_075.MID
76	music	0x082d9b54	0x00000778	BGM_076.MID
80	music	0x082da2cc	0x000000c0	BGM_080.MID
81	music	0x082da38c	0x000000fc	BGM_081.MID
82	music	0x082da488	0x000000bc	BGM_082.MID
83	music	0x082da544	0x000000f8	BGM_083.MID
84	music	0x082da63c	0x000000c8	BGM_084.MID
85	music	0x082da704	0x00000060	BGM_085.MID
86	music	0x082da764	0x00000180	BGM_086.MID
87	music	0x082da8e4	0x00000090	BGM_087.MID
88	music	0x082da974	0x000000c0	BGM_088.MID
89	music	0x082daa34	0x000000e0	BGM_089.MID
91	music	0x082dab14	0x00000068	BGM_091.MID
92	music	0x082dab7c	0x000000c0	BGM_092.MID
93	music	0x082dac3c	0x00000174	BGM_093.MID
100	sfx	0x082dadb8	0x0000002c	SE_100.MID
101	sfx	0x082dade4	0x00000038	SE_101.MID
102	sfx	0x082dae1c	0x0000003c	SE_102.MID
103	sfx	0x082dae58	0x00000050	SE_103.MID
104	sfx	0x082daea8	0x00000048	SE_104.MID
105	sfx	0x082daef0	0x00000068	SE_105.MID
106	sfx	0x082daf58	0x0000001c	SE_106.MID
107	sfx	0x082daf74	0x00000074	SE_107.MID
108	sfx	0x082dafe8	0x00000024	SE_108.MID
109	sfx	0x082db00c	0x00000024	SE_109.MID
110	sfx	0x082db030	0x00000020	SE_110.MID
111	sfx	0x082db050	0x00000030	SE_111.MID
112	sfx	0x082db080	0x00000054	SE_112.MID
113	sfx	0x082db0d4	0x00000058	SE_113.MID
114	sfx	0x082db12c	0x00000060	SE_114.MID
115	sfx	0x082db18c	0x00000044	SE_115.MID
116	sfx	0x082db1d0	0x00000028	SE_116.MID
117	sfx	0x082db1f8	0x00000024	SE_117.MID
118	sfx	0x082db21c	0x0000001c	SE_118.MID
119	sfx	0x082db238	0x0000001c	SE_119.MID
120	sfx	0x082db254	0x00000028	SE_120.MID
121	sfx	0x082db27c	0x00000048	SE_121.MID
122	sfx	0x082db2c4	0x0000003c	SE_122.MID
123	sfx	0x082db300	0x00000064	SE_123.MID
124	sfx	0x082db364	0x00000020	SE_124.MID
125	sfx	0x082db384	0x00000020	SE_125.MID
126	sfx	0x082db3a4	0x00000070	SE_126.MID
127	sfx	0x082db414	0x00000028	SE_127.MID
128	sfx	0x082db43c	0x00000038	SE_128.MID
129	sfx	0x082db474	0x00000038	SE_129.MID
130	sfx	0x082db4ac	0x00000028	SE_130.MID
131	sfx	0x082db4d4	0x00000044	SE_131.MID
132	sfx	0x082db518	0x00000028	SE_132.MID
133	sfx	0x082db540	0x00000034	SE_133.MID
134	sfx	0x082db574	0x00000058	SE_134.MID
135	sfx	0x082db5cc	0x00000050	SE_135.MID
136	sfx	0x082db61c	0x00000028	SE_136.MID
137	sfx	0x082db644	0x00000048	SE_137.MID
138	sfx	0x082db68c	0x00000028	SE_138.MID
139	sfx	0x082db6b4	0x00000034	SE_139.MID
140	sfx	0x082db6e8	0x00000098	SE_140.MID
141	sfx	0x082db780	0x00000058	SE_141.MID
142	sfx	0x082db7d8	0x00000080	SE_142.MID
143	sfx	0x082db858	0x00000024	SE_143.MID
144	sfx	0x082db87c	0x0000006c	SE_144.MID
145	sfx	0x082db8e8	0x0000006c	SE_145.MID
146	sfx	0x082db954	0x0000001c	SE_146.MID
147	sfx	0x082db970	0x00000020	SE_147.MID
148	sfx	0x082db990	0x00000020	SE_148.MID
149	sfx	0x082db9b0	0x00000034	SE_149.MID
150	sfx	0x082db9e4	0x00000020	SE_150.MID
151	sfx	0x082dba04	0x00000044	SE_151.MID
152	sfx	0x082dba48	0x00000038	SE_152.MID
153	sfx	0x082dba80	0x00000040	SE_153.MID
154	sfx	0x082dbac0	0x0000004c	SE_154.MID
155	sfx	0x082dbb0c	0x00000028	SE_155.MID
156	sfx	0x082dbb34	0x0000001c	SE_156.MID
157	sfx	0x082dbb50	0x00000020	SE_157.MID
158	sfx	0x082dbb70	0x00000038	SE_158.MID
159	sfx	0x082dbba8	0x00000024	SE_159.MID
160	sfx	0x082dbbcc	0x00000028	SE_160.MID
161	sfx	0x082dbbf4	0x00000024	SE_161.MID
162	sfx	0x082dbc18	0x00000030	SE_162.MID
163	sfx	0x082dbc48	0x00000030	SE_163.MID
164	sfx	0x082dbc78	0x00000020	SE_164.MID
165	sfx	0x082dbc98	0x00000078	SE_165.MID
166	sfx	0x082dbd10	0x00000028	SE_166.MID
167	sfx	0x082dbd38	0x00000028	SE_167.MID
168	sfx	0x082dbd60	0x00000034	SE_168.MID
169	sfx	0x082dbd94	0x00000028	SE_169.MID
170	sfx	0x082dbdbc	0x00000028	SE_170.MID
171	sfx	0x082dbde4	0x00000024	SE_171.MID
172	sfx	0x082dbe08	0x00000024	SE_172.MID
173	sfx	0x082dbe2c	0x00000054	SE_173.MID
174	sfx	0x082dbe80	0x00000054	SE_174.MID
175	sfx	0x082dbed4	0x00000054	SE_175.MID
176	sfx	0x082dbf28	0x0000002c	SE_176.MID
177	sfx	0x082dbf54	0x0000002c	SE_177.MID
178	sfx	0x082dbf80	0x00000068	SE_178.MID
179	sfx	0x082dbfe8	0x00000044	SE_179.MID
180	sfx	0x082dc02c	0x00000068	SE_180.MID
181	sfx	0x082dc094	0x0000003c	SE_181.MID
182	sfx	0x082dc0d0	0x00000060	SE_182.MID
183	sfx	0x082dc130	0x00000038	SE_183.MID
184	sfx	0x082dc168	0x00000108	SE_184.MID
185	sfx	0x082dc270	0x00000028	SE_185.MID
186	sfx	0x082dc298	0x00000028	SE_186.MID
187	sfx	0x082dc2c0	0x00000028	SE_187.MID
188	sfx	0x082dc2e8	0x00000028	SE_188.MID
189	sfx	0x082dc310	0x00000060	SE_189.MID
190	sfx	0x082dc370	0x00000084	SE_190.MID
191	sfx	0x082dc3f4	0x0000001c	SE_191.MID
192	sfx	0x082dc410	0x00000030	SE_192.MID
193	sfx	0x082dc440	0x00000074	SE_193.MID
194	sfx	0x082dc4b4	0x00000038	SE_194.MID
195	sfx	0x082dc4ec	0x00000030	SE_195.MID
196	sfx	0x082dc51c	0x00000058	SE_196.MID
197	sfx	0x082dc574	0x00000234	SE_197.MID
198	sfx	0x082dc7a8	0x0000019c	SE_198.MID
199	sfx	0x082dc944	0x000001d8	SE_199.MID
200	sfx	0x082dcb1c	0x00000140	SE_200.MID
201	sfx	0x082dcc5c	0x00000050	SE_201.MID
202	sfx	0x082dccac	0x00000034	SE_202.MID
203	sfx	0x082dcce0	0x00000024	SE_203.MID
204	sfx	0x082dcd04	0x0000008c	SE_204.MID
205	sfx	0x082dcd90	0x00000030	SE_205.MID
206	sfx	0x082dcdc0	0x00000034	SE_206.MID
207	sfx	0x082dcdf4	0x0000002c	SE_207.MID
208	sfx	0x082dce20	0x00000050	SE_208.MID
209	sfx	0x082dce70	0x0000009c	SE_209.MID
210	sfx	0x082dcf0c	0x00000040	SE_210.MID
211	sfx	0x082dcf4c	0x00000038	SE_211.MID
212	sfx	0x082dcf84	0x00000034	SE_212.MID
213	sfx	0x082dcfb8	0x0000004c	SE_213.MID
214	sfx	0x082dd004	0x0000004c	SE_214.MID
215	sfx	0x082dd050	0x00000038	SE_215.MID
216	sfx	0x082dd088	0x00000038	SE_216.MID
217	sfx	0x082dd0c0	0x00000030	SE_217.MID
218	sfx	0x082dd0f0	0x0000001c	SE_218.MID
219	sfx	0x082dd10c	0x0000002c	SE_219.MID
220	sfx	0x082dd138	0x00000094	SE_220.MID
221	sfx	0x082dd1cc	0x0000002c	SE_221.MID
222	sfx	0x082dd1f8	0x0000003c	SE_222.MID
223	sfx	0x082dd234	0x00000028	SE_223.MID
224	sfx	0x082dd25c	0x00000030	SE_224.MID
225	sfx	0x082dd28c	0x00000024	SE_225.MID
226	sfx	0x082dd2b0	0x00000038	SE_226.MID
227	sfx	0x082dd2e8	0x00000034	SE_227.MID
228	sfx	0x082dd31c	0x00000024	SE_228.MID
229	sfx	0x082dd340	0x00000024	SE_229.MID
230	sfx	0x082dd364	0x00000028	SE_230.MID
231	sfx	0x082dd38c	0x00000040	SE_231.MID
232	sfx	0x082dd3cc	0x00000038	SE_232.MID
233	sfx	0x082dd404	0x000000a0	SE_233.MID
234	sfx	0x082dd4a4	0x0000001c	SE_234.MID
235	sfx	0x082dd4c0	0x000000a0	SE_235.MID
236	sfx	0x082dd560	0x00000024	SE_236.MID
237	sfx	0x082dd584	0x0000002c	SE_237.MID
238	sfx	0x082dd5b0	0x00000078	SE_238.MID
239	sfx	0x082dd628	0x0000008c	SE_239.MID
240	sfx	0x082dd6b4	0x0000002c	SE_240.MID
241	sfx	0x082dd6e0	0x000000c8	SE_241.MID
242	sfx	0x082dd7a8	0x00000060	SE_242.MID
243	sfx	0x082dd808	0x00000034	SE_243.MID
244	sfx	0x082dd83c	0x00000078	SE_244.MID
245	sfx	0x082dd8b4	0x00000038	SE_245.MID
246	sfx	0x082dd8ec	0x00000078	SE_246.MID
247	sfx	0x082dd964	0x00000028	SE_247.MID
248	sfx	0x082dd98c	0x00000044	SE_248.MID
249	sfx	0x082dd9d0	0x00000034	SE_249.MID
250	sfx	0x082dda04	0x00000030	SE_250.MID
251	sfx	0x082dda34	0x00000030	SE_251.MID
252	sfx	0x082dda64	0x00000030	SE_252.MID
253	sfx	0x082dda94	0x00000058	SE_253.MID
256	sfx	0x082ddaec	0x00000020	SE_256.MID
257	sfx	0x082ddb0c	0x00000020	SE_257.MID
258	sfx	0x082ddb2c	0x00000020	SE_258.MID
259	sfx	0x082ddb4c	0x00000020	SE_259.MID
260	sfx	0x082ddb6c	0x00000020	SE_260.MID
261	sfx	0x082ddb8c	0x00000020	SE_261.MID
262	sfx	0x082ddbac	0x00000020	SE_262.MID
263	sfx	0x082ddbcc	0x00000024	SE_263.MID
264	sfx	0x082ddbf0	0x00000024	SE_264.MID
265	sfx	0x082ddc14	0x00000024	SE_265.MID
266	sfx	0x082ddc38	0x00000024	SE_266.MID
267	sfx	0x082ddc5c	0x00000024	SE_267.MID
268	sfx	0x082ddc80	0x00000024	SE_268.MID
269	sfx	0x082ddca4	0x00000024	SE_269.MID
270	sfx	0x082ddcc8	0x00000024	SE_270.MID
271	sfx	0x082ddcec	0x00000024	SE_271.MID
272	sfx	0x082ddd10	0x00000024	SE_272.MID
273	sfx	0x082ddd34	0x00000024	SE_273.MID
274	sfx	0x082ddd58	0x00000024	SE_274.MID
275	sfx	0x082ddd7c	0x00000024	SE_275.MID
276	sfx	0x082ddda0	0x00000024	SE_276.MID
277	sfx	0x082dddc4	0x00000024	SE_277.MID
278	sfx	0x082ddde8	0x00000024	SE_278.MID
279	sfx	0x082dde0c	0x00000024	SE_279.MID
280	sfx	0x082dde30	0x00000028	SE_280.MID
281	sfx	0x082dde58	0x00000028	SE_281.MID
282	sfx	0x082dde80	0x00000028	SE_282.MID
283	sfx	0x082ddea8	0x00000028	SE_283.MID
284	sfx	0x082dded0	0x00000024	SE_284.MID
285	sfx	0x082ddef4	0x00000024	SE_285.MID
286	sfx	0x082ddf18	0x00000028	SE_286.MID
287	sfx	0x082ddf40	0x00000028	SE_287.MID
290	sfx	0x082ddf70	0x00000058	SE_290.MID
291	sfx	0x082ddfc8	0x0000005c	SE_291.MID
292	sfx	0x082de024	0x00000038	SE_292.MID
293	sfx	0x082de05c	0x00000038	SE_293.MID
300	sfx	0x082de09c	0x00000028	SE_300.MID
301	sfx	0x082de0c4	0x00000024	SE_301.MID
302	sfx	0x082de0e8	0x0000001c	SE_302.MID
303	sfx	0x082de104	0x00000024	SE_303.MID
304	sfx	0x082de128	0x00000038	SE_304.MID
305	sfx	0x082de160	0x0000002c	SE_305.MID
306	sfx	0x082de18c	0x0000002c	SE_306.MID
307	sfx	0x082de1b8	0x00000034	SE_307.MID
308	sfx	0x082de1ec	0x00000090	SE_308.MID
309	sfx	0x082de27c	0x0000003c	SE_309.MID
310	sfx	0x082de2b8	0x00000054	SE_310.MID
311	sfx	0x082de30c	0x000000c8	SE_311.MID
512	sfx	0x082de3d4	0x00000040	SE_512.MID
520	sfx	0x082de414	0x00000084	SE_520.MID
521	sfx	0x082de498	0x0000001c	SE_521.MID
522	sfx	0x082de4b4	0x00000040	SE_522.MID
523	sfx	0x082de4f4	0x00000064	SE_523.MID
524	sfx	0x082de558	0x00000034	SE_524.MID
525	sfx	0x082de58c	0x0000001c	SE_525.MID
526	sfx	0x082de5a8	0x0000001c	SE_526.MID
527	sfx	0x082de5c4	0x0000005c	SE_527.MID
528	sfx	0x082de620	0x00000040	SE_528.MID
529	sfx	0x082de660	0x00000044	SE_529.MID
530	sfx	0x082de6a4	0x00000020	SE_530.MID
531	sfx	0x082de6c4	0x00000040	SE_531.MID
532	sfx	0x082de704	0x0000002c	SE_532.MID
533	sfx	0x082de730	0x0000003c	SE_533.MID
534	sfx	0x082de76c	0x00000020	SE_534.MID
535	sfx	0x082de78c	0x00000020	SE_535.MID
536	sfx	0x082de7ac	0x000000a8	SE_536.MID
538	sfx	0x082de854	0x000000b8	SE_538.MID
539	sfx	0x082de90c	0x0000001c	SE_539.MID
542	sfx	0x082de928	0x0000002c	SE_542.MID
543	sfx	0x082de954	0x0000008c	SE_543.MID
544	sfx	0x082de9e0	0x00000034	SE_544.MID
545	sfx	0x082dea14	0x00000060	SE_545.MID
546	sfx	0x082dea74	0x0000005c	SE_546.MID
547	sfx	0x082dead0	0x00000038	SE_547.MID
548	sfx	0x082deb08	0x00000034	SE_548.MID
549	sfx	0x082deb3c	0x00000020	SE_549.MID
550	sfx	0x082deb5c	0x0000002c	SE_550.MID
551	sfx	0x082deb88	0x0000002c	SE_551.MID
552	sfx	0x082debb4	0x0000002c	SE_552.MID
554	sfx	0x082debe0	0x00000030	SE_554.MID
555	sfx	0x082dec10	0x00000030	SE_555.MID
556	sfx	0x082dec40	0x0000002c	SE_556.MID
557	sfx	0x082dec6c	0x0000002c	SE_557.MID
558	sfx	0x082dec98	0x00000038	SE_558.MID
559	sfx	0x082decd0	0x00000044	SE_559.MID
560	sfx	0x082ded14	0x00000064	SE_560.MID
561	sfx	0x082ded78	0x00000064	SE_561.MID
562	sfx	0x082deddc	0x00000088	SE_562.MID
563	sfx	0x082dee64	0x00000068	SE_563.MID
564	sfx	0x082deecc	0x00000068	SE_564.MID
565	sfx	0x082def34	0x0000002c	SE_565.MID
566	sfx	0x082def60	0x0000006c	SE_566.MID
567	sfx	0x082defcc	0x0000004c	SE_567.MID
568	sfx	0x082df018	0x00000058	SE_568.MID
569	sfx	0x082df070	0x00000058	SE_569.MID
570	sfx	0x082df0c8	0x0000002c	SE_570.MID
571	sfx	0x082df0f4	0x00000028	SE_571.MID
572	sfx	0x082df11c	0x00000034	SE_572.MID
573	sfx	0x082df150	0x00000034	SE_573.MID
574	sfx	0x082df184	0x00000040	SE_574.MID
575	sfx	0x082df1c4	0x00000030	SE_575.MID
576	sfx	0x082df1f4	0x00000038	SE_576.MID
577	sfx	0x082df22c	0x00000020	SE_577.MID
578	sfx	0x082df24c	0x00000028	SE_578.MID
579	sfx	0x082df274	0x00000020	SE_579.MID
580	sfx	0x082df294	0x00000028	SE_580.MID
581	sfx	0x082df2bc	0x00000040	SE_581.MID
582	sfx	0x082df2fc	0x00000034	SE_582.MID
583	sfx	0x082df330	0x0000001c	SE_583.MID
584	sfx	0x082df34c	0x00000020	SE_584.MID
585	sfx	0x082df36c	0x0000001c	SE_585.MID
586	sfx	0x082df388	0x00000034	SE_586.MID
587	sfx	0x082df3bc	0x00000024	SE_587.MID
588	sfx	0x082df3e0	0x00000060	SE_588.MID
589	sfx	0x082df440	0x00000050	SE_589.MID
590	sfx	0x082df490	0x0000001c	SE_590.MID
591	sfx	0x082df4ac	0x00000034	SE_591.MID
592	sfx	0x082df4e0	0x00000060	SE_592.MID
593	sfx	0x082df540	0x0000003c	SE_593.MID
594	sfx	0x082df57c	0x00000044	SE_594.MID
595	sfx	0x082df5c0	0x0000001c	SE_595.MID
596	sfx	0x082df5dc	0x0000002c	SE_596.MID
597	sfx	0x082df608	0x00000028	SE_597.MID
598	sfx	0x082df630	0x00000044	SE_598.MID
610	sfx	0x082df674	0x00000048	SE_610.MID
