# ROM-derived TLA sound-selection table, identified by ROM sound IDs.
slot	header	player	source	status
0	0x082ba798	1		empty
1	0x082bae04	1	SOUND_001.MID	byte-exact
2	0x082bb394	1	SOUND_002.MID	byte-exact
3	0x082bb850	1	SOUND_003.MID	byte-exact
4	0x082bbd20	1	SOUND_004.MID	byte-exact
5	0x082bc108	1	SOUND_005.MID	byte-exact
6	0x082bc5ac	1	SOUND_006.MID	byte-exact
7	0x082bcb68	1	SOUND_007.MID	byte-exact
8	0x082bcdb8	1	SOUND_008.MID	byte-exact
9	0x082bd3d4	1	SOUND_009.MID	byte-exact
10	0x082bda44	1	SOUND_010.MID	byte-exact
11	0x082bdc98	1	SOUND_011.MID	byte-exact
12	0x082be0d8	1	SOUND_012.MID	byte-exact
13	0x082be398	1	SOUND_013.MID	byte-exact
14	0x082be7b4	1	SOUND_014.MID	byte-exact
15	0x082bebb0	1	SOUND_015.MID	byte-exact
16	0x082bef24	1	SOUND_016.MID	byte-exact
17	0x082bf0c8	1	SOUND_017.MID	byte-exact
18	0x082bf1bc	1	SOUND_018.MID	byte-exact
19	0x081c5e30	0		empty
20	0x082bfa34	1	SOUND_020.MID	byte-exact
21	0x082c03f8	1	SOUND_021.MID	byte-exact
22	0x082c09b0	1	SOUND_022.MID	byte-exact
23	0x082c0f84	1	SOUND_023.MID	byte-exact
24	0x082c16e8	1	SOUND_024.MID	byte-exact
25	0x082c1dd0	1	SOUND_025.MID	byte-exact
26	0x082c22a4	1	SOUND_026.MID	byte-exact
27	0x082c2904	1	SOUND_027.MID	byte-exact
28	0x082c3694	1	SOUND_028.MID	byte-exact
29	0x082c4174	1	SOUND_029.MID	byte-exact
30	0x082c495c	1	SOUND_030.MID	byte-exact
31	0x082c4db4	1	SOUND_031.MID	byte-exact
32	0x081c5e30	0		empty
33	0x081c5e30	0		empty
34	0x082c53a4	1	SOUND_034.MID	byte-exact
35	0x082c597c	1	SOUND_035.MID	byte-exact
36	0x082c5e38	1	SOUND_036.MID	byte-exact
37	0x082c60c0	1	SOUND_037.MID	byte-exact
38	0x082c6b54	1	SOUND_038.MID	byte-exact
39	0x082c74a8	1	SOUND_039.MID	byte-exact
40	0x082c80a8	1	SOUND_040.MID	byte-exact
41	0x082c87c4	1	SOUND_041.MID	byte-exact
42	0x082c8efc	1	SOUND_042.MID	byte-exact
43	0x082c9864	1	SOUND_043.MID	byte-exact
44	0x082ca1f0	1	SOUND_044.MID	byte-exact
45	0x081c5e30	0		empty
46	0x081c5e30	0		empty
47	0x081c5e30	0		empty
48	0x081c5e30	0		empty
49	0x082ca8d4	1	SOUND_049.MID	byte-exact
50	0x082cb414	1	SOUND_050.MID	byte-exact
51	0x082cc064	1	SOUND_051.MID	byte-exact
52	0x082cca08	1	SOUND_052.MID	byte-exact
53	0x082cd074	1	SOUND_053.MID	byte-exact
54	0x082cf778	1	SOUND_054.MID	byte-exact
55	0x082d0298	1	SOUND_055.MID	byte-exact
56	0x082d0b44	1	SOUND_056.MID	byte-exact
57	0x082d12cc	1	SOUND_057.MID	byte-exact
58	0x082d1670	1	SOUND_058.MID	byte-exact
59	0x082d1990	1	SOUND_059.MID	byte-exact
60	0x082d1fd4	1	SOUND_060.MID	byte-exact
61	0x082d2774	1	SOUND_061.MID	byte-exact
62	0x082d2ad4	1	SOUND_062.MID	byte-exact
63	0x082d38ac	1	SOUND_063.MID	byte-exact
64	0x082d3b4c	1	SOUND_064.MID	byte-exact
65	0x082d40cc	1	SOUND_065.MID	byte-exact
66	0x081c5e30	0		empty
67	0x082d4910	1	SOUND_067.MID	byte-exact
68	0x082d6704	1	SOUND_068.MID	byte-exact
69	0x081c5e30	0		empty
70	0x082d71c0	1	SOUND_070.MID	byte-exact
71	0x082d7e00	1	SOUND_071.MID	byte-exact
72	0x082d85e4	1	SOUND_072.MID	byte-exact
73	0x082d8db8	1	SOUND_073.MID	byte-exact
74	0x082d98bc	1	SOUND_074.MID	byte-exact
75	0x082d9b30	1	SOUND_075.MID	byte-exact
76	0x082da2a8	1	SOUND_076.MID	byte-exact
77	0x081c5e30	0		empty
78	0x081c5e30	0		empty
79	0x081c5e30	0		empty
80	0x082da374	0	SOUND_080.MID	byte-exact
81	0x082da468	0	SOUND_081.MID	byte-exact
82	0x082da524	0	SOUND_082.MID	byte-exact
83	0x082da620	0	SOUND_083.MID	byte-exact
84	0x082da6ec	0	SOUND_084.MID	byte-exact
85	0x082da750	0	SOUND_085.MID	byte-exact
86	0x082da8d0	0	SOUND_086.MID	byte-exact
87	0x082da95c	0	SOUND_087.MID	byte-exact
88	0x082daa1c	0	SOUND_088.MID	byte-exact
89	0x082daafc	0	SOUND_089.MID	byte-exact
90	0x081c5e30	0		empty
91	0x082dab68	0	SOUND_091.MID	byte-exact
92	0x082dac24	0	SOUND_092.MID	byte-exact
93	0x082dad94	0	SOUND_093.MID	byte-exact
94	0x081c5e30	0		empty
95	0x082dadb0	0		empty
96	0x081c5e30	0		empty
97	0x081c5e30	0		empty
98	0x081c5e30	0		empty
99	0x081c5e30	0		empty
100	0x082dadd8	7	SOUND_100.MID	byte-exact
101	0x082dae10	2	SOUND_101.MID	byte-exact
102	0x082dae4c	2	SOUND_102.MID	byte-exact
103	0x082dae9c	7	SOUND_103.MID	byte-exact
104	0x082daee4	5	SOUND_104.MID	byte-exact
105	0x082daf48	7	SOUND_105.MID	byte-exact
106	0x082daf68	7	SOUND_106.MID	byte-exact
107	0x082dafdc	3	SOUND_107.MID	byte-exact
108	0x082db000	2	SOUND_108.MID	byte-exact
109	0x082db024	2	SOUND_109.MID	byte-exact
110	0x082db044	2	SOUND_110.MID	byte-exact
111	0x082db074	4	SOUND_111.MID	byte-exact
112	0x082db0c8	2	SOUND_112.MID	byte-exact
113	0x082db120	2	SOUND_113.MID	byte-exact
114	0x082db180	2	SOUND_114.MID	byte-exact
115	0x082db1c4	5	SOUND_115.MID	byte-exact
116	0x082db1ec	2	SOUND_116.MID	byte-exact
117	0x082db210	2	SOUND_117.MID	byte-exact
118	0x082db22c	5	SOUND_118.MID	byte-exact
119	0x082db248	5	SOUND_119.MID	byte-exact
120	0x082db270	5	SOUND_120.MID	byte-exact
121	0x082db2b8	5	SOUND_121.MID	byte-exact
122	0x082db2f4	5	SOUND_122.MID	byte-exact
123	0x082db358	5	SOUND_123.MID	byte-exact
124	0x082db378	5	SOUND_124.MID	byte-exact
125	0x082db398	5	SOUND_125.MID	byte-exact
126	0x082db408	2	SOUND_126.MID	byte-exact
127	0x082db430	5	SOUND_127.MID	byte-exact
128	0x082db468	5	SOUND_128.MID	byte-exact
129	0x082db4a0	5	SOUND_129.MID	byte-exact
130	0x082db4c8	7	SOUND_130.MID	byte-exact
131	0x082db508	7	SOUND_131.MID	byte-exact
132	0x082db534	5	SOUND_132.MID	byte-exact
133	0x082db568	5	SOUND_133.MID	byte-exact
134	0x082db5bc	5	SOUND_134.MID	byte-exact
135	0x082db60c	2	SOUND_135.MID	byte-exact
136	0x082db638	5	SOUND_136.MID	byte-exact
137	0x082db680	3	SOUND_137.MID	byte-exact
138	0x082db6a8	5	SOUND_138.MID	byte-exact
139	0x082db6d8	5	SOUND_139.MID	byte-exact
140	0x082db770	5	SOUND_140.MID	byte-exact
141	0x082db7cc	3	SOUND_141.MID	byte-exact
142	0x082db848	5	SOUND_142.MID	byte-exact
143	0x082db870	5	SOUND_143.MID	byte-exact
144	0x082db8d8	5	SOUND_144.MID	byte-exact
145	0x082db944	5	SOUND_145.MID	byte-exact
146	0x082db964	7	SOUND_146.MID	byte-exact
147	0x082db984	7	SOUND_147.MID	byte-exact
148	0x082db9a4	7	SOUND_148.MID	byte-exact
149	0x082db9d4	7	SOUND_149.MID	byte-exact
150	0x082db9f8	7	SOUND_150.MID	byte-exact
151	0x082dba34	5	SOUND_151.MID	byte-exact
152	0x082dba74	7	SOUND_152.MID	byte-exact
153	0x082dbab4	7	SOUND_153.MID	byte-exact
154	0x082dbb00	5	SOUND_154.MID	byte-exact
155	0x082dbb28	7	SOUND_155.MID	byte-exact
156	0x082dbb44	3	SOUND_156.MID	byte-exact
157	0x082dbb64	3	SOUND_157.MID	byte-exact
158	0x082dbb9c	5	SOUND_158.MID	byte-exact
159	0x082dbbc0	5	SOUND_159.MID	byte-exact
160	0x082dbbe8	5	SOUND_160.MID	byte-exact
161	0x082dbc0c	5	SOUND_161.MID	byte-exact
162	0x082dbc3c	3	SOUND_162.MID	byte-exact
163	0x082dbc6c	3	SOUND_163.MID	byte-exact
164	0x082dbc8c	5	SOUND_164.MID	byte-exact
165	0x082dbd04	5	SOUND_165.MID	byte-exact
166	0x082dbd2c	5	SOUND_166.MID	byte-exact
167	0x082dbd54	7	SOUND_167.MID	byte-exact
168	0x082dbd88	5	SOUND_168.MID	byte-exact
169	0x082dbdb0	3	SOUND_169.MID	byte-exact
170	0x082dbdd8	3	SOUND_170.MID	byte-exact
