# Eighteen packed 4-bit CGB waveforms used by GS1.
wave	address	source
0	0x080fc504	WAVE_00.pcm4
1	0x080fc514	WAVE_01.pcm4
2	0x080fc524	WAVE_02.pcm4
3	0x080fc534	WAVE_03.pcm4
4	0x080fc544	WAVE_04.pcm4
5	0x080fc554	WAVE_05.pcm4
6	0x080fc564	WAVE_06.pcm4
7	0x080fc574	WAVE_07.pcm4
8	0x080fc584	WAVE_08.pcm4
9	0x080fc594	WAVE_09.pcm4
10	0x080fc5a4	WAVE_10.pcm4
11	0x080fc5b4	WAVE_11.pcm4
12	0x080fc5c4	WAVE_12.pcm4
13	0x080fc5d4	WAVE_13.pcm4
14	0x080fc5e4	WAVE_14.pcm4
15	0x080fc5f4	WAVE_15.pcm4
16	0x080fc604	WAVE_16.pcm4
17	0x080fc614	WAVE_17.pcm4
