# Byte-exact GS1 SMSH sequence sources. Human titles live only in games/music.tsv.
sound_id	class	address	size	source
0	music	0x0815fb78	0x0000095c	songs/midi/bgm_000.mid
1	music	0x081604d4	0x00000aec	songs/midi/bgm_001.mid
2	music	0x08160fc0	0x000005bc	songs/midi/bgm_002.mid
3	music	0x0816157c	0x0000074c	songs/midi/bgm_003.mid
4	music	0x08161cc8	0x000003a4	songs/midi/bgm_004.mid
5	music	0x0816206c	0x000008d4	songs/midi/bgm_005.mid
6	music	0x08162940	0x000009e4	songs/midi/bgm_006.mid
7	music	0x08163324	0x00000a54	songs/midi/bgm_007.mid
8	music	0x08163d78	0x00000668	songs/midi/bgm_008.mid
9	music	0x081643e0	0x0000081c	songs/midi/bgm_009.mid
10	music	0x08164bfc	0x000006dc	songs/midi/bgm_010.mid
20	music	0x081652e0	0x00000a98	songs/midi/bgm_020.mid
21	music	0x08165d78	0x0000073c	songs/midi/bgm_021.mid
22	music	0x081664b4	0x000012e8	songs/midi/bgm_022.mid
23	music	0x0816779c	0x00000f10	songs/midi/bgm_023.mid
24	music	0x081686ac	0x000012dc	songs/midi/bgm_024.mid
25	music	0x08169988	0x00000c98	songs/midi/bgm_025.mid
26	music	0x0816a620	0x000006dc	songs/midi/bgm_026.mid
27	music	0x0816acfc	0x00000e9c	songs/midi/bgm_027.mid
28	music	0x0816bb98	0x00000c14	songs/midi/bgm_028.mid
29	music	0x0816c7ac	0x0000131c	songs/midi/bgm_029.mid
30	music	0x0816dac8	0x000005f0	songs/midi/bgm_030.mid
40	music	0x0816e0b8	0x00000a9c	songs/midi/bgm_040.mid
41	music	0x0816eb54	0x00000ac8	songs/midi/bgm_041.mid
42	music	0x0816f61c	0x00000c0c	songs/midi/bgm_042.mid
43	music	0x08170228	0x00000dbc	songs/midi/bgm_043.mid
50	music	0x08170fe4	0x00000b34	songs/midi/bgm_050.mid
51	music	0x08171b18	0x00001f24	songs/midi/bgm_051.mid
52	music	0x08173a3c	0x00001964	songs/midi/bgm_052.mid
53	music	0x081753a0	0x00001c0c	songs/midi/bgm_053.mid
54	music	0x08176fac	0x00001f1c	songs/midi/bgm_054.mid
55	music	0x08178ec8	0x00000b18	songs/midi/bgm_055.mid
58	music	0x081799e0	0x0000039c	songs/midi/bgm_058.mid
59	music	0x08179d7c	0x000001d0	songs/midi/bgm_059.mid
60	music	0x08179f4c	0x00000644	songs/midi/bgm_060.mid
61	music	0x0817a590	0x00000798	songs/midi/bgm_061.mid
62	music	0x0817ad28	0x0000035c	songs/midi/bgm_062.mid
63	music	0x0817b084	0x00000dd0	songs/midi/bgm_063.mid
64	music	0x0817be54	0x00000298	songs/midi/bgm_064.mid
67	music	0x0817c0ec	0x00001d68	songs/midi/bgm_067.mid
70	music	0x0817de54	0x00000ab8	songs/midi/bgm_070.mid
72	music	0x0817e90c	0x000007e0	songs/midi/bgm_072.mid
74	music	0x0817f0ec	0x00000b1c	songs/midi/bgm_074.mid
75	music	0x0817fc08	0x00000264	songs/midi/bgm_075.mid
76	music	0x0817fe6c	0x00000774	songs/midi/bgm_076.mid
80	music	0x081805e0	0x000000c0	songs/midi/bgm_080.mid
81	music	0x081806a0	0x000000f8	songs/midi/bgm_081.mid
82	music	0x08180798	0x000000bc	songs/midi/bgm_082.mid
83	music	0x08180854	0x000000f8	songs/midi/bgm_083.mid
84	music	0x0818094c	0x000000c8	songs/midi/bgm_084.mid
85	music	0x08180a14	0x00000060	songs/midi/bgm_085.mid
86	music	0x08180a74	0x00000184	songs/midi/bgm_086.mid
87	music	0x08180bf8	0x00000090	songs/midi/bgm_087.mid
88	music	0x08180c88	0x000000c4	songs/midi/bgm_088.mid
89	music	0x08180d4c	0x000000dc	songs/midi/bgm_089.mid
91	music	0x08180e28	0x00000064	songs/midi/bgm_091.mid
92	music	0x08180e8c	0x000000bc	songs/midi/bgm_092.mid
93	music	0x08180f48	0x00000170	songs/midi/bgm_093.mid
100	sfx	0x081810c0	0x0000002c	songs/midi/se_100.mid
101	sfx	0x081810ec	0x00000038	songs/midi/se_shop_purchase.mid
102	sfx	0x08181124	0x0000003c	songs/midi/se_102.mid
103	sfx	0x08181160	0x00000050	songs/midi/se_103.mid
104	sfx	0x081811b0	0x00000048	songs/midi/se_104.mid
105	sfx	0x081811f8	0x00000068	songs/midi/se_105.mid
106	sfx	0x08181260	0x0000001c	songs/midi/se_106.mid
107	sfx	0x0818127c	0x00000074	songs/midi/se_107.mid
108	sfx	0x081812f0	0x00000024	songs/midi/se_triple_tone_low.mid
109	sfx	0x08181314	0x00000024	songs/midi/se_triple_tone_high.mid
110	sfx	0x08181338	0x00000020	songs/midi/se_110.mid
111	sfx	0x08181358	0x00000030	songs/midi/se_menu_cursor.mid
112	sfx	0x08181388	0x00000054	songs/midi/se_menu_ok.mid
113	sfx	0x081813dc	0x00000058	songs/midi/se_menu_cancel.mid
114	sfx	0x08181434	0x00000060	songs/midi/se_menu_error.mid
115	sfx	0x08181494	0x00000044	songs/midi/se_115.mid
116	sfx	0x081814d8	0x00000028	songs/midi/se_116.mid
117	sfx	0x08181500	0x00000024	songs/midi/se_117.mid
118	sfx	0x08181524	0x0000001c	songs/midi/se_118.mid
119	sfx	0x08181540	0x0000001c	songs/midi/se_119.mid
120	sfx	0x0818155c	0x00000028	songs/midi/se_120.mid
121	sfx	0x08181584	0x00000048	songs/midi/se_121.mid
122	sfx	0x081815cc	0x0000003c	songs/midi/se_122.mid
123	sfx	0x08181608	0x00000064	songs/midi/se_123.mid
124	sfx	0x0818166c	0x00000020	songs/midi/se_124.mid
125	sfx	0x0818168c	0x00000020	songs/midi/se_125.mid
126	sfx	0x081816ac	0x00000070	songs/midi/se_recovery.mid
127	sfx	0x0818171c	0x00000028	songs/midi/se_127.mid
128	sfx	0x08181744	0x00000038	songs/midi/se_128.mid
129	sfx	0x0818177c	0x00000038	songs/midi/se_129.mid
130	sfx	0x081817b4	0x00000028	songs/midi/se_130.mid
131	sfx	0x081817dc	0x00000044	songs/midi/se_131.mid
132	sfx	0x08181820	0x00000028	songs/midi/se_132.mid
133	sfx	0x08181848	0x00000034	songs/midi/se_133.mid
134	sfx	0x0818187c	0x00000058	songs/midi/se_heavy_impact.mid
135	sfx	0x081818d4	0x00000050	songs/midi/se_135.mid
136	sfx	0x08181924	0x00000028	songs/midi/se_136.mid
137	sfx	0x0818194c	0x0000003c	songs/midi/se_137.mid
138	sfx	0x08181988	0x00000028	songs/midi/se_item_break.mid
139	sfx	0x081819c2	0x0000001e	songs/midi/se_139.mid
140	sfx	0x081819e0	0x00000098	songs/midi/se_140.mid
141	sfx	0x08181a78	0x00000058	songs/midi/se_141.mid
142	sfx	0x08181ad0	0x00000080	songs/midi/se_142.mid
143	sfx	0x08181b50	0x00000024	songs/midi/se_143.mid
144	sfx	0x08181b74	0x0000006c	songs/midi/se_144.mid
145	sfx	0x08181be0	0x0000006c	songs/midi/se_145.mid
146	sfx	0x08181c4c	0x0000001c	songs/midi/se_146.mid
147	sfx	0x08181c68	0x00000020	songs/midi/se_147.mid
148	sfx	0x08181c88	0x00000020	songs/midi/se_148.mid
149	sfx	0x08181ca8	0x00000034	songs/midi/se_149.mid
150	sfx	0x08181cdc	0x00000020	songs/midi/se_150.mid
151	sfx	0x08181cfc	0x00000044	songs/midi/se_151.mid
152	sfx	0x08181d40	0x00000038	songs/midi/se_152.mid
153	sfx	0x08181d78	0x00000040	songs/midi/se_153.mid
154	sfx	0x08181db8	0x0000004c	songs/midi/se_154.mid
155	sfx	0x08181e04	0x00000028	songs/midi/se_155.mid
156	sfx	0x08181e2c	0x0000001c	songs/midi/se_156.mid
157	sfx	0x08181e48	0x00000020	songs/midi/se_157.mid
158	sfx	0x08181e68	0x00000038	songs/midi/se_158.mid
159	sfx	0x08181ea0	0x00000024	songs/midi/se_159.mid
160	sfx	0x08181ec4	0x00000028	songs/midi/se_160.mid
161	sfx	0x08181eec	0x00000024	songs/midi/se_161.mid
162	sfx	0x08181f10	0x0000002c	songs/midi/se_162.mid
163	sfx	0x08181f3c	0x0000002c	songs/midi/se_163.mid
164	sfx	0x08181f68	0x00000020	songs/midi/se_164.mid
165	sfx	0x08181f88	0x00000078	songs/midi/se_165.mid
166	sfx	0x08182000	0x00000028	songs/midi/se_166.mid
167	sfx	0x08182028	0x00000028	songs/midi/se_scene_transition.mid
168	sfx	0x08182050	0x00000034	songs/midi/se_168.mid
169	sfx	0x08182084	0x00000028	songs/midi/se_169.mid
170	sfx	0x081820ac	0x00000028	songs/midi/se_170.mid
171	sfx	0x081820d4	0x00000024	songs/midi/se_171.mid
172	sfx	0x081820f8	0x00000024	songs/midi/se_172.mid
173	sfx	0x0818211c	0x00000054	songs/midi/se_173.mid
174	sfx	0x08182170	0x00000054	songs/midi/se_174.mid
175	sfx	0x081821c4	0x00000054	songs/midi/se_175.mid
176	sfx	0x08182218	0x0000002c	songs/midi/se_176.mid
177	sfx	0x08182244	0x0000002c	songs/midi/se_177.mid
178	sfx	0x08182270	0x00000068	songs/midi/se_178.mid
179	sfx	0x081822d8	0x00000044	songs/midi/se_179.mid
180	sfx	0x0818231c	0x00000068	songs/midi/se_180.mid
181	sfx	0x08182384	0x0000003c	songs/midi/se_181.mid
182	sfx	0x081823c0	0x00000060	songs/midi/se_182.mid
183	sfx	0x08182420	0x00000038	songs/midi/se_183.mid
184	sfx	0x08182458	0x000000d4	songs/midi/se_184.mid
185	sfx	0x0818252c	0x00000028	songs/midi/se_185.mid
186	sfx	0x08182554	0x00000028	songs/midi/se_186.mid
187	sfx	0x0818257c	0x00000028	songs/midi/se_187.mid
