# Ordered GS1 audio-engine control tables.
section	index	value
leading_alignment	0	0
leading_alignment	1	0
diagnostic_sounds	0	0
diagnostic_sounds	1	80
diagnostic_sounds	2	100
command_dispatch	0	Func_080f9a50
command_dispatch	1	Func_080f9ac0
command_dispatch	2	Func_080f9ae0
command_dispatch	3	Func_080f9afc
command_dispatch	4	Func_080f9b10
command_dispatch	5	Func_080f9a50
command_dispatch	6	Func_080f9a50
command_dispatch	7	Func_080f9a50
command_dispatch	8	Func_080f9a50
command_dispatch	9	Func_080f9b40
command_dispatch	10	Func_080f9b4c
command_dispatch	11	Func_080f9b60
command_dispatch	12	Func_080f9b74
command_dispatch	13	Func_080f9ba4
command_dispatch	14	Func_080f9bb8
command_dispatch	15	Func_080f9bcc
command_dispatch	16	Func_080f9be0
command_dispatch	17	Func_080fa1d4
command_dispatch	18	Func_080f9bf4
command_dispatch	19	Func_080fa1e8
command_dispatch	20	Func_080f9c00
command_dispatch	21	Func_080f9a50
command_dispatch	22	Func_080f9a50
command_dispatch	23	Func_080f9c18
command_dispatch	24	Func_080f9a50
command_dispatch	25	Func_080f9a50
command_dispatch	26	Func_080f9a50
command_dispatch	27	Func_080f9c2c
command_dispatch	28	Func_080f9a50
command_dispatch	29	Func_080fa16c
command_dispatch	30	Func_080fa798
command_dispatch	31	Func_080f9ef8
command_dispatch	32	Func_080fab7c
command_dispatch	33	Func_080fac44
command_dispatch	34	Func_080f9a30
command_dispatch	35	Func_080f9a18
direct_pitch_codes	0	224
direct_pitch_codes	1	225
direct_pitch_codes	2	226
direct_pitch_codes	3	227
direct_pitch_codes	4	228
direct_pitch_codes	5	229
direct_pitch_codes	6	230
direct_pitch_codes	7	231
direct_pitch_codes	8	232
direct_pitch_codes	9	233
direct_pitch_codes	10	234
direct_pitch_codes	11	235
direct_pitch_codes	12	208
direct_pitch_codes	13	209
direct_pitch_codes	14	210
direct_pitch_codes	15	211
direct_pitch_codes	16	212
direct_pitch_codes	17	213
direct_pitch_codes	18	214
direct_pitch_codes	19	215
direct_pitch_codes	20	216
direct_pitch_codes	21	217
direct_pitch_codes	22	218
direct_pitch_codes	23	219
direct_pitch_codes	24	192
direct_pitch_codes	25	193
direct_pitch_codes	26	194
direct_pitch_codes	27	195
direct_pitch_codes	28	196
direct_pitch_codes	29	197
direct_pitch_codes	30	198
direct_pitch_codes	31	199
direct_pitch_codes	32	200
direct_pitch_codes	33	201
direct_pitch_codes	34	202
direct_pitch_codes	35	203
direct_pitch_codes	36	176
direct_pitch_codes	37	177
direct_pitch_codes	38	178
direct_pitch_codes	39	179
direct_pitch_codes	40	180
direct_pitch_codes	41	181
direct_pitch_codes	42	182
direct_pitch_codes	43	183
direct_pitch_codes	44	184
direct_pitch_codes	45	185
direct_pitch_codes	46	186
direct_pitch_codes	47	187
direct_pitch_codes	48	160
direct_pitch_codes	49	161
direct_pitch_codes	50	162
direct_pitch_codes	51	163
direct_pitch_codes	52	164
direct_pitch_codes	53	165
direct_pitch_codes	54	166
direct_pitch_codes	55	167
direct_pitch_codes	56	168
direct_pitch_codes	57	169
direct_pitch_codes	58	170
direct_pitch_codes	59	171
direct_pitch_codes	60	144
direct_pitch_codes	61	145
direct_pitch_codes	62	146
direct_pitch_codes	63	147
direct_pitch_codes	64	148
direct_pitch_codes	65	149
direct_pitch_codes	66	150
direct_pitch_codes	67	151
direct_pitch_codes	68	152
direct_pitch_codes	69	153
direct_pitch_codes	70	154
direct_pitch_codes	71	155
direct_pitch_codes	72	128
direct_pitch_codes	73	129
direct_pitch_codes	74	130
direct_pitch_codes	75	131
direct_pitch_codes	76	132
direct_pitch_codes	77	133
direct_pitch_codes	78	134
direct_pitch_codes	79	135
direct_pitch_codes	80	136
direct_pitch_codes	81	137
direct_pitch_codes	82	138
direct_pitch_codes	83	139
direct_pitch_codes	84	112
direct_pitch_codes	85	113
direct_pitch_codes	86	114
direct_pitch_codes	87	115
direct_pitch_codes	88	116
direct_pitch_codes	89	117
direct_pitch_codes	90	118
direct_pitch_codes	91	119
direct_pitch_codes	92	120
direct_pitch_codes	93	121
direct_pitch_codes	94	122
direct_pitch_codes	95	123
direct_pitch_codes	96	96
direct_pitch_codes	97	97
direct_pitch_codes	98	98
direct_pitch_codes	99	99
direct_pitch_codes	100	100
direct_pitch_codes	101	101
direct_pitch_codes	102	102
direct_pitch_codes	103	103
direct_pitch_codes	104	104
direct_pitch_codes	105	105
direct_pitch_codes	106	106
direct_pitch_codes	107	107
direct_pitch_codes	108	80
direct_pitch_codes	109	81
direct_pitch_codes	110	82
direct_pitch_codes	111	83
direct_pitch_codes	112	84
direct_pitch_codes	113	85
direct_pitch_codes	114	86
direct_pitch_codes	115	87
direct_pitch_codes	116	88
direct_pitch_codes	117	89
direct_pitch_codes	118	90
direct_pitch_codes	119	91
direct_pitch_codes	120	64
direct_pitch_codes	121	65
direct_pitch_codes	122	66
direct_pitch_codes	123	67
direct_pitch_codes	124	68
direct_pitch_codes	125	69
direct_pitch_codes	126	70
direct_pitch_codes	127	71
direct_pitch_codes	128	72
direct_pitch_codes	129	73
direct_pitch_codes	130	74
direct_pitch_codes	131	75
direct_pitch_codes	132	48
direct_pitch_codes	133	49
direct_pitch_codes	134	50
direct_pitch_codes	135	51
direct_pitch_codes	136	52
direct_pitch_codes	137	53
direct_pitch_codes	138	54
direct_pitch_codes	139	55
direct_pitch_codes	140	56
direct_pitch_codes	141	57
direct_pitch_codes	142	58
direct_pitch_codes	143	59
direct_pitch_codes	144	32
direct_pitch_codes	145	33
direct_pitch_codes	146	34
direct_pitch_codes	147	35
direct_pitch_codes	148	36
direct_pitch_codes	149	37
direct_pitch_codes	150	38
direct_pitch_codes	151	39
direct_pitch_codes	152	40
direct_pitch_codes	153	41
direct_pitch_codes	154	42
direct_pitch_codes	155	43
direct_pitch_codes	156	16
direct_pitch_codes	157	17
direct_pitch_codes	158	18
direct_pitch_codes	159	19
direct_pitch_codes	160	20
direct_pitch_codes	161	21
direct_pitch_codes	162	22
direct_pitch_codes	163	23
direct_pitch_codes	164	24
direct_pitch_codes	165	25
direct_pitch_codes	166	26
direct_pitch_codes	167	27
direct_pitch_codes	168	0
direct_pitch_codes	169	1
direct_pitch_codes	170	2
direct_pitch_codes	171	3
direct_pitch_codes	172	4
direct_pitch_codes	173	5
direct_pitch_codes	174	6
direct_pitch_codes	175	7
direct_pitch_codes	176	8
direct_pitch_codes	177	9
direct_pitch_codes	178	10
direct_pitch_codes	179	11
direct_frequency_ratios	0	0x80000000
direct_frequency_ratios	1	0x879c7c97
direct_frequency_ratios	2	0x8facd61e
direct_frequency_ratios	3	0x9837f052
direct_frequency_ratios	4	0xa14517cc
direct_frequency_ratios	5	0xaadc0848
direct_frequency_ratios	6	0xb504f334
direct_frequency_ratios	7	0xbfc886bb
direct_frequency_ratios	8	0xcb2ff52a
direct_frequency_ratios	9	0xd744fccb
direct_frequency_ratios	10	0xe411f03a
direct_frequency_ratios	11	0xf1a1bf39
pcm_samples_per_vblank	0	96
pcm_samples_per_vblank	1	132
pcm_samples_per_vblank	2	176
pcm_samples_per_vblank	3	224
pcm_samples_per_vblank	4	264
pcm_samples_per_vblank	5	304
pcm_samples_per_vblank	6	352
pcm_samples_per_vblank	7	448
pcm_samples_per_vblank	8	528
pcm_samples_per_vblank	9	608
pcm_samples_per_vblank	10	672
pcm_samples_per_vblank	11	704
cgb_pitch_codes	0	0
cgb_pitch_codes	1	1
cgb_pitch_codes	2	2
cgb_pitch_codes	3	3
cgb_pitch_codes	4	4
cgb_pitch_codes	5	5
cgb_pitch_codes	6	6
cgb_pitch_codes	7	7
cgb_pitch_codes	8	8
cgb_pitch_codes	9	9
cgb_pitch_codes	10	10
cgb_pitch_codes	11	11
cgb_pitch_codes	12	16
cgb_pitch_codes	13	17
cgb_pitch_codes	14	18
cgb_pitch_codes	15	19
cgb_pitch_codes	16	20
cgb_pitch_codes	17	21
cgb_pitch_codes	18	22
cgb_pitch_codes	19	23
cgb_pitch_codes	20	24
cgb_pitch_codes	21	25
cgb_pitch_codes	22	26
cgb_pitch_codes	23	27
cgb_pitch_codes	24	32
cgb_pitch_codes	25	33
cgb_pitch_codes	26	34
cgb_pitch_codes	27	35
cgb_pitch_codes	28	36
cgb_pitch_codes	29	37
cgb_pitch_codes	30	38
cgb_pitch_codes	31	39
cgb_pitch_codes	32	40
cgb_pitch_codes	33	41
cgb_pitch_codes	34	42
cgb_pitch_codes	35	43
cgb_pitch_codes	36	48
cgb_pitch_codes	37	49
cgb_pitch_codes	38	50
cgb_pitch_codes	39	51
cgb_pitch_codes	40	52
cgb_pitch_codes	41	53
cgb_pitch_codes	42	54
cgb_pitch_codes	43	55
cgb_pitch_codes	44	56
cgb_pitch_codes	45	57
cgb_pitch_codes	46	58
cgb_pitch_codes	47	59
cgb_pitch_codes	48	64
cgb_pitch_codes	49	65
cgb_pitch_codes	50	66
cgb_pitch_codes	51	67
cgb_pitch_codes	52	68
cgb_pitch_codes	53	69
cgb_pitch_codes	54	70
cgb_pitch_codes	55	71
cgb_pitch_codes	56	72
cgb_pitch_codes	57	73
cgb_pitch_codes	58	74
cgb_pitch_codes	59	75
cgb_pitch_codes	60	80
cgb_pitch_codes	61	81
cgb_pitch_codes	62	82
cgb_pitch_codes	63	83
cgb_pitch_codes	64	84
cgb_pitch_codes	65	85
cgb_pitch_codes	66	86
cgb_pitch_codes	67	87
cgb_pitch_codes	68	88
cgb_pitch_codes	69	89
cgb_pitch_codes	70	90
cgb_pitch_codes	71	91
cgb_pitch_codes	72	96
cgb_pitch_codes	73	97
cgb_pitch_codes	74	98
cgb_pitch_codes	75	99
cgb_pitch_codes	76	100
cgb_pitch_codes	77	101
cgb_pitch_codes	78	102
cgb_pitch_codes	79	103
cgb_pitch_codes	80	104
cgb_pitch_codes	81	105
cgb_pitch_codes	82	106
cgb_pitch_codes	83	107
cgb_pitch_codes	84	112
cgb_pitch_codes	85	113
cgb_pitch_codes	86	114
cgb_pitch_codes	87	115
cgb_pitch_codes	88	116
cgb_pitch_codes	89	117
cgb_pitch_codes	90	118
cgb_pitch_codes	91	119
cgb_pitch_codes	92	120
cgb_pitch_codes	93	121
cgb_pitch_codes	94	122
cgb_pitch_codes	95	123
cgb_pitch_codes	96	128
cgb_pitch_codes	97	129
cgb_pitch_codes	98	130
cgb_pitch_codes	99	131
cgb_pitch_codes	100	132
cgb_pitch_codes	101	133
cgb_pitch_codes	102	134
cgb_pitch_codes	103	135
cgb_pitch_codes	104	136
cgb_pitch_codes	105	137
cgb_pitch_codes	106	138
cgb_pitch_codes	107	139
cgb_pitch_codes	108	144
cgb_pitch_codes	109	145
cgb_pitch_codes	110	146
cgb_pitch_codes	111	147
cgb_pitch_codes	112	148
cgb_pitch_codes	113	149
cgb_pitch_codes	114	150
cgb_pitch_codes	115	151
cgb_pitch_codes	116	152
cgb_pitch_codes	117	153
cgb_pitch_codes	118	154
cgb_pitch_codes	119	155
cgb_pitch_codes	120	160
cgb_pitch_codes	121	161
cgb_pitch_codes	122	162
cgb_pitch_codes	123	163
cgb_pitch_codes	124	164
cgb_pitch_codes	125	165
cgb_pitch_codes	126	166
cgb_pitch_codes	127	167
cgb_pitch_codes	128	168
cgb_pitch_codes	129	169
cgb_pitch_codes	130	170
cgb_pitch_codes	131	171
cgb_frequency_steps	0	-2004
cgb_frequency_steps	1	-1891
cgb_frequency_steps	2	-1785
cgb_frequency_steps	3	-1685
cgb_frequency_steps	4	-1591
cgb_frequency_steps	5	-1501
cgb_frequency_steps	6	-1417
cgb_frequency_steps	7	-1337
cgb_frequency_steps	8	-1262
cgb_frequency_steps	9	-1192
cgb_frequency_steps	10	-1125
cgb_frequency_steps	11	-1062
noise_pitch_codes	0	215
noise_pitch_codes	1	214
noise_pitch_codes	2	213
noise_pitch_codes	3	212
noise_pitch_codes	4	199
noise_pitch_codes	5	198
noise_pitch_codes	6	197
noise_pitch_codes	7	196
noise_pitch_codes	8	183
noise_pitch_codes	9	182
noise_pitch_codes	10	181
noise_pitch_codes	11	180
noise_pitch_codes	12	167
noise_pitch_codes	13	166
noise_pitch_codes	14	165
noise_pitch_codes	15	164
noise_pitch_codes	16	151
noise_pitch_codes	17	150
noise_pitch_codes	18	149
noise_pitch_codes	19	148
noise_pitch_codes	20	135
noise_pitch_codes	21	134
noise_pitch_codes	22	133
noise_pitch_codes	23	132
noise_pitch_codes	24	119
noise_pitch_codes	25	118
noise_pitch_codes	26	117
noise_pitch_codes	27	116
noise_pitch_codes	28	103
noise_pitch_codes	29	102
noise_pitch_codes	30	101
noise_pitch_codes	31	100
noise_pitch_codes	32	87
noise_pitch_codes	33	86
noise_pitch_codes	34	85
noise_pitch_codes	35	84
noise_pitch_codes	36	71
noise_pitch_codes	37	70
noise_pitch_codes	38	69
noise_pitch_codes	39	68
noise_pitch_codes	40	55
noise_pitch_codes	41	54
noise_pitch_codes	42	53
noise_pitch_codes	43	52
noise_pitch_codes	44	39
noise_pitch_codes	45	38
noise_pitch_codes	46	37
noise_pitch_codes	47	36
noise_pitch_codes	48	23
noise_pitch_codes	49	22
noise_pitch_codes	50	21
noise_pitch_codes	51	20
noise_pitch_codes	52	7
noise_pitch_codes	53	6
noise_pitch_codes	54	5
noise_pitch_codes	55	4
noise_pitch_codes	56	3
noise_pitch_codes	57	2
noise_pitch_codes	58	1
noise_pitch_codes	59	0
cgb_volume_registers	0	0
cgb_volume_registers	1	0
cgb_volume_registers	2	96
cgb_volume_registers	3	96
cgb_volume_registers	4	96
cgb_volume_registers	5	96
cgb_volume_registers	6	64
cgb_volume_registers	7	64
cgb_volume_registers	8	64
cgb_volume_registers	9	64
cgb_volume_registers	10	128
cgb_volume_registers	11	128
cgb_volume_registers	12	128
cgb_volume_registers	13	128
cgb_volume_registers	14	32
cgb_volume_registers	15	32
wait_durations	0	0
wait_durations	1	1
wait_durations	2	2
wait_durations	3	3
wait_durations	4	4
wait_durations	5	5
wait_durations	6	6
wait_durations	7	7
wait_durations	8	8
wait_durations	9	9
wait_durations	10	10
wait_durations	11	11
wait_durations	12	12
wait_durations	13	13
wait_durations	14	14
wait_durations	15	15
wait_durations	16	16
wait_durations	17	17
wait_durations	18	18
wait_durations	19	19
wait_durations	20	20
wait_durations	21	21
wait_durations	22	22
wait_durations	23	23
wait_durations	24	24
wait_durations	25	28
wait_durations	26	30
wait_durations	27	32
wait_durations	28	36
wait_durations	29	40
wait_durations	30	42
wait_durations	31	44
wait_durations	32	48
wait_durations	33	52
wait_durations	34	54
wait_durations	35	56
wait_durations	36	60
wait_durations	37	64
wait_durations	38	66
wait_durations	39	68
wait_durations	40	72
wait_durations	41	76
wait_durations	42	78
wait_durations	43	80
wait_durations	44	84
wait_durations	45	88
wait_durations	46	90
wait_durations	47	92
wait_durations	48	96
wait_alignment	0	0
wait_alignment	1	0
wait_alignment	2	0
cgb_command_dispatch	0	Func_080fb690
cgb_command_dispatch	1	Func_080fb6a4
cgb_command_dispatch	2	Func_080fb6ec
cgb_command_dispatch	3	Func_080fb690
cgb_command_dispatch	4	Func_080fb700
cgb_command_dispatch	5	Func_080fb714
cgb_command_dispatch	6	Func_080fb728
cgb_command_dispatch	7	Func_080fb73c
cgb_command_dispatch	8	Func_080fb750
cgb_command_dispatch	9	Func_080fb75c
cgb_command_dispatch	10	Func_080fb768
cgb_command_dispatch	11	Func_080fb77c
