# Runtime-captured GS2 Battle Mode requester map from a clear-data save.
request	sound_id	header	source	status
0	709	0x082e4a0c	songs/midi/sound_709.mid	byte-exact
1	68	0x082d6704	songs/midi/sound_068.mid	byte-exact
2	74	0x082d98bc	songs/midi/sound_074.mid	byte-exact
3	727	0x082ebcb8	songs/midi/sound_727.mid	byte-exact
4	1	0x082bae04	songs/midi/sound_001.mid	byte-exact
5	2	0x082bb394	songs/midi/sound_002.mid	byte-exact
6	3	0x082bb850	songs/midi/sound_003.mid	byte-exact
7	4	0x082bbd20	songs/midi/sound_004.mid	byte-exact
8	5	0x082bc108	songs/midi/sound_005.mid	byte-exact
9	6	0x082bc5ac	songs/midi/sound_006.mid	byte-exact
10	7	0x082bcb68	songs/midi/sound_007.mid	byte-exact
11	8	0x082bcdb8	songs/midi/sound_008.mid	byte-exact
12	9	0x082bd3d4	songs/midi/sound_009.mid	byte-exact
13	10	0x082bda44	songs/midi/sound_010.mid	byte-exact
14	11	0x082bdc98	songs/midi/sound_011.mid	byte-exact
15	12	0x082be0d8	songs/midi/sound_012.mid	byte-exact
16	13	0x082be398	songs/midi/sound_013.mid	byte-exact
17	14	0x082be7b4	songs/midi/sound_014.mid	byte-exact
18	15	0x082bebb0	songs/midi/sound_015.mid	byte-exact
19	16	0x082bef24	songs/midi/sound_016.mid	byte-exact
20	17	0x082bf0c8	songs/midi/sound_017.mid	byte-exact
21	18	0x082bf1bc	songs/midi/sound_018.mid	byte-exact
22	20	0x082bfa34	songs/midi/sound_020.mid	byte-exact
23	21	0x082c03f8	songs/midi/sound_021.mid	byte-exact
24	22	0x082c09b0	songs/midi/sound_022.mid	byte-exact
25	23	0x082c0f84	songs/midi/sound_023.mid	byte-exact
26	24	0x082c16e8	songs/midi/sound_024.mid	byte-exact
27	25	0x082c1dd0	songs/midi/sound_025.mid	byte-exact
28	26	0x082c22a4	songs/midi/sound_026.mid	byte-exact
29	27	0x082c2904	songs/midi/sound_027.mid	byte-exact
30	28	0x082c3694	songs/midi/sound_028.mid	byte-exact
31	29	0x082c4174	songs/midi/sound_029.mid	byte-exact
32	30	0x082c495c	songs/midi/sound_030.mid	byte-exact
33	31	0x082c4db4	songs/midi/sound_031.mid	byte-exact
34	34	0x082c53a4	songs/midi/sound_034.mid	byte-exact
35	35	0x082c597c	songs/midi/sound_035.mid	byte-exact
36	36	0x082c5e38	songs/midi/sound_036.mid	byte-exact
37	37	0x082c60c0	songs/midi/sound_037.mid	byte-exact
38	38	0x082c6b54	songs/midi/sound_038.mid	byte-exact
39	39	0x082c74a8	songs/midi/sound_039.mid	byte-exact
40	40	0x082c80a8	songs/midi/sound_040.mid	byte-exact
41	41	0x082c87c4	songs/midi/sound_041.mid	byte-exact
42	42	0x082c8efc	songs/midi/sound_042.mid	byte-exact
43	43	0x082c9864	songs/midi/sound_043.mid	byte-exact
44	44	0x082ca1f0	songs/midi/sound_044.mid	byte-exact
45	55	0x082d0298	songs/midi/sound_055.mid	byte-exact
46	76	0x082da2a8	songs/midi/sound_076.mid	byte-exact
47	49	0x082ca8d4	songs/midi/sound_049.mid	byte-exact
48	50	0x082cb414	songs/midi/sound_050.mid	byte-exact
49	51	0x082cc064	songs/midi/sound_051.mid	byte-exact
50	52	0x082cca08	songs/midi/sound_052.mid	byte-exact
51	56	0x082d0b44	songs/midi/sound_056.mid	byte-exact
52	57	0x082d12cc	songs/midi/sound_057.mid	byte-exact
53	53	0x082cd074	songs/midi/sound_053.mid	byte-exact
54	54	0x082cf778	songs/midi/sound_054.mid	byte-exact
55	58	0x082d1670	songs/midi/sound_058.mid	byte-exact
56	59	0x082d1990	songs/midi/sound_059.mid	byte-exact
57	60	0x082d1fd4	songs/midi/sound_060.mid	byte-exact
58	61	0x082d2774	songs/midi/sound_061.mid	byte-exact
59	62	0x082d2ad4	songs/midi/sound_062.mid	byte-exact
