# ROM-derived GS2 sound-selection table. Human titles live only in games/music.tsv.
slot	header	player	source	status
0	0x082ba798	1		empty
1	0x082bae04	1	songs/midi/sound_001.mid	byte-exact
2	0x082bb394	1	songs/midi/sound_002.mid	byte-exact
3	0x082bb850	1	songs/midi/sound_003.mid	byte-exact
4	0x082bbd20	1	songs/midi/sound_004.mid	byte-exact
5	0x082bc108	1	songs/midi/sound_005.mid	byte-exact
6	0x082bc5ac	1	songs/midi/sound_006.mid	byte-exact
7	0x082bcb68	1	songs/midi/sound_007.mid	byte-exact
8	0x082bcdb8	1	songs/midi/sound_008.mid	byte-exact
9	0x082bd3d4	1	songs/midi/sound_009.mid	byte-exact
10	0x082bda44	1	songs/midi/sound_010.mid	byte-exact
11	0x082bdc98	1	songs/midi/sound_011.mid	byte-exact
12	0x082be0d8	1	songs/midi/sound_012.mid	byte-exact
13	0x082be398	1	songs/midi/sound_013.mid	byte-exact
14	0x082be7b4	1	songs/midi/sound_014.mid	byte-exact
15	0x082bebb0	1	songs/midi/sound_015.mid	byte-exact
16	0x082bef24	1	songs/midi/sound_016.mid	byte-exact
17	0x082bf0c8	1	songs/midi/sound_017.mid	byte-exact
18	0x082bf1bc	1	songs/midi/sound_018.mid	byte-exact
19	0x081c5e30	0		empty
20	0x082bfa34	1	songs/midi/sound_020.mid	byte-exact
21	0x082c03f8	1	songs/midi/sound_021.mid	byte-exact
22	0x082c09b0	1	songs/midi/sound_022.mid	byte-exact
23	0x082c0f84	1	songs/midi/sound_023.mid	byte-exact
24	0x082c16e8	1	songs/midi/sound_024.mid	byte-exact
25	0x082c1dd0	1	songs/midi/sound_025.mid	byte-exact
26	0x082c22a4	1	songs/midi/sound_026.mid	byte-exact
27	0x082c2904	1	songs/midi/sound_027.mid	byte-exact
28	0x082c3694	1	songs/midi/sound_028.mid	byte-exact
29	0x082c4174	1	songs/midi/sound_029.mid	byte-exact
30	0x082c495c	1	songs/midi/sound_030.mid	byte-exact
31	0x082c4db4	1	songs/midi/sound_031.mid	byte-exact
32	0x081c5e30	0		empty
33	0x081c5e30	0		empty
34	0x082c53a4	1	songs/midi/sound_034.mid	byte-exact
35	0x082c597c	1	songs/midi/sound_035.mid	byte-exact
36	0x082c5e38	1	songs/midi/sound_036.mid	byte-exact
37	0x082c60c0	1	songs/midi/sound_037.mid	byte-exact
38	0x082c6b54	1	songs/midi/sound_038.mid	byte-exact
39	0x082c74a8	1	songs/midi/sound_039.mid	byte-exact
40	0x082c80a8	1	songs/midi/sound_040.mid	byte-exact
41	0x082c87c4	1	songs/midi/sound_041.mid	byte-exact
42	0x082c8efc	1	songs/midi/sound_042.mid	byte-exact
43	0x082c9864	1	songs/midi/sound_043.mid	byte-exact
44	0x082ca1f0	1	songs/midi/sound_044.mid	byte-exact
45	0x081c5e30	0		empty
46	0x081c5e30	0		empty
47	0x081c5e30	0		empty
48	0x081c5e30	0		empty
49	0x082ca8d4	1	songs/midi/sound_049.mid	byte-exact
50	0x082cb414	1	songs/midi/sound_050.mid	byte-exact
51	0x082cc064	1	songs/midi/sound_051.mid	byte-exact
52	0x082cca08	1	songs/midi/sound_052.mid	byte-exact
53	0x082cd074	1	songs/midi/sound_053.mid	byte-exact
54	0x082cf778	1	songs/midi/sound_054.mid	byte-exact
55	0x082d0298	1	songs/midi/sound_055.mid	byte-exact
56	0x082d0b44	1	songs/midi/sound_056.mid	byte-exact
57	0x082d12cc	1	songs/midi/sound_057.mid	byte-exact
58	0x082d1670	1	songs/midi/sound_058.mid	byte-exact
59	0x082d1990	1	songs/midi/sound_059.mid	byte-exact
60	0x082d1fd4	1	songs/midi/sound_060.mid	byte-exact
61	0x082d2774	1	songs/midi/sound_061.mid	byte-exact
62	0x082d2ad4	1	songs/midi/sound_062.mid	byte-exact
63	0x082d38ac	1	songs/midi/sound_063.mid	byte-exact
64	0x082d3b4c	1	songs/midi/sound_064.mid	byte-exact
65	0x082d40cc	1	songs/midi/sound_065.mid	byte-exact
66	0x081c5e30	0		empty
67	0x082d4910	1	songs/midi/sound_067.mid	byte-exact
68	0x082d6704	1	songs/midi/sound_068.mid	byte-exact
69	0x081c5e30	0		empty
70	0x082d71c0	1	songs/midi/sound_070.mid	byte-exact
71	0x082d7e00	1	songs/midi/sound_071.mid	byte-exact
72	0x082d85e4	1	songs/midi/sound_072.mid	byte-exact
73	0x082d8db8	1	songs/midi/sound_073.mid	byte-exact
74	0x082d98bc	1	songs/midi/sound_074.mid	byte-exact
75	0x082d9b30	1	songs/midi/sound_075.mid	byte-exact
76	0x082da2a8	1	songs/midi/sound_076.mid	byte-exact
77	0x081c5e30	0		empty
78	0x081c5e30	0		empty
79	0x081c5e30	0		empty
80	0x082da374	0	songs/midi/sound_080.mid	byte-exact
81	0x082da468	0	songs/midi/sound_081.mid	byte-exact
82	0x082da524	0	songs/midi/sound_082.mid	byte-exact
83	0x082da620	0	songs/midi/sound_083.mid	byte-exact
84	0x082da6ec	0	songs/midi/sound_084.mid	byte-exact
85	0x082da750	0	songs/midi/sound_085.mid	byte-exact
86	0x082da8d0	0	songs/midi/sound_086.mid	byte-exact
87	0x082da95c	0	songs/midi/sound_087.mid	byte-exact
88	0x082daa1c	0	songs/midi/sound_088.mid	byte-exact
