# TBS English overlay identities derived from the ROM location-name resolver, not source filenames.
# Scene indices 0..200: 08029094 bounds the selector; 0808ab48 loads record[scene].resource_id from 0809f1a8.
# Name rules: 0808a5d0 -> 0808b158 scans 0809ddd8 in order. Bit 15 selects scene instead of group; low 15 bits select entry or 0x7fff wildcard.
# Menu_DrawSelectionRow adds 0x99b to the matched result. Message IDs refer to assets/text/message_archive.json.
# All matching entry-specific titles are included; reachability of every entry was not tested in an emulator. No-match title-screen fallback is excluded.
# English display names are identification evidence, not proposed Japanese source filenames. Scene indices are not graphics-map indices.
# Existing source names are not evidence: resource_39d is Mercury Lighthouse, 3b2 Crossbone Isle, and 3bf Lunpa Fortress; 39e is shared Fuchin/Xian/Lama interior code.
resource_id	locations	role	scene_ids	name_message_ids	evidence	atlas_destination
resource_36f	Title screen	title	0	0x99b	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/MENU/TITLE
resource_370	(Clear data)	save_menu	1	0x99c	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/MENU/SAVE
resource_371	World Map	world_map	2	0x99d	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/WORLD
resource_372	Vale	area	3	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HEIDIA
resource_373	Vale	area	4	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HEIDIA
resource_374	Vale	area	5	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HEIDIA
resource_375	Vale	area	6	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HEIDIA
resource_376	Vale	area	7	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HEIDIA
resource_377	Babi's Palace; Vale	area	8	0x9a4,0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SHARED
resource_378	Vale Sanctum; Vault Sanctum; Bilibin Sanctum; Xian Sanctum; Altin Sanctum; Sanctum	area	9	0x99e,0x99f,0x9a0,0x9a1,0x9a2,0x9a3	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SHARED
resource_379	Vale	area	10	0x9a5	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/HEIDIA
resource_37a	Sol Sanctum	area	11	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SOL_SHINDEN
resource_37b	Sol Sanctum	area	12	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SOL_SHINDEN
resource_37c	Sol Sanctum	area	13	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SOL_SHINDEN
resource_37d	Sol Sanctum	area	14	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SOL_SHINDEN
resource_37e	Sol Sanctum	area	15	0x9a8	0809f1a8;0809ddd8;0808b158;Menu_DrawSelectionRow	SRC/FIELD/SOL_SHINDEN
