# ROM-derived direct-sound samples; provisional names preserve tone-bank order.
sample	address	frequency	loop_start	sample_count	source
0	0x081c5e34	22579200	645	667	direct_sound_samples/sample_000.pcm8.wav
1	0x081c60e0	22579200	12544	13051	direct_sound_samples/sample_001.pcm8.wav
2	0x081c93ec	22579200	9392	11078	direct_sound_samples/sample_002.pcm8.wav
3	0x081cbf44	22579200		7534	direct_sound_samples/sample_003.pcm8.wav
4	0x081cdcc4	22579200	1804	1826	direct_sound_samples/sample_004.pcm8.wav
5	0x081ce3f8	22579200		19527	direct_sound_samples/sample_005.pcm8.wav
6	0x081d3050	16146432	7820	16831	direct_sound_samples/sample_006.pcm8.wav
7	0x081d7220	22579200	5616	16028	direct_sound_samples/sample_007.pcm8.wav
8	0x081db0cc	22579200	2500	2543	direct_sound_samples/sample_008.pcm8.wav
9	0x081dbacc	22579200	7020	13286	direct_sound_samples/sample_009.pcm8.wav
10	0x081deec4	22579200	8037	8080	direct_sound_samples/sample_010.pcm8.wav
11	0x081e0e64	22579200	2010	2053	direct_sound_samples/sample_011.pcm8.wav
12	0x081e167c	22579200	8064	12247	direct_sound_samples/sample_012.pcm8.wav
13	0x081e4664	22579200	3625	8767	direct_sound_samples/sample_013.pcm8.wav
14	0x081e68b4	17140000	0	1	direct_sound_samples/sample_014.pcm8.wav
15	0x081e68cc	17140000	0	1	direct_sound_samples/sample_015.pcm8.wav
16	0x081e68e4	17140000	0	1	direct_sound_samples/sample_016.pcm8.wav
17	0x081e68fc	17140000	0	1	direct_sound_samples/sample_017.pcm8.wav
18	0x081e6910	17140000	0	1	direct_sound_samples/sample_018.pcm8.wav
19	0x081e6924	6712836	6826	11358	direct_sound_samples/sample_019.pcm8.wav
20	0x081e9594	6088740	10930	13866	direct_sound_samples/sample_020.pcm8.wav
21	0x081ecbd0	22579200		4524	direct_sound_samples/sample_021.pcm8.wav
22	0x081edd8c	19353600		9098	direct_sound_samples/sample_022.pcm8.wav
23	0x081f0128	13425673	12566	16934	direct_sound_samples/sample_023.pcm8.wav
24	0x081f4360	13425673	6758	13763	direct_sound_samples/sample_024.pcm8.wav
25	0x081f7934	13425673	15090	21591	direct_sound_samples/sample_025.pcm8.wav
26	0x081fcd9c	10240000	0	12485	direct_sound_samples/sample_026.pcm8.wav
27	0x081ffe74	10240000	0	19815	direct_sound_samples/sample_027.pcm8.wav
28	0x08204bec	22579200	6742	10748	direct_sound_samples/sample_028.pcm8.wav
29	0x082075f8	10240000		4519	direct_sound_samples/sample_029.pcm8.wav
30	0x082087b0	10240000		4514	direct_sound_samples/sample_030.pcm8.wav
31	0x08209964	32292864		5638	direct_sound_samples/sample_031.pcm8.wav
32	0x0820af7c	22579200		2659	direct_sound_samples/sample_032.pcm8.wav
33	0x0820b9f0	32292864		11155	direct_sound_samples/sample_033.pcm8.wav
34	0x0820e594	32292864		5972	direct_sound_samples/sample_034.pcm8.wav
35	0x0820fcf8	32292864		12104	direct_sound_samples/sample_035.pcm8.wav
36	0x08212c50	32292864		14761	direct_sound_samples/sample_036.pcm8.wav
